"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X329","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",29
"X130","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",30
"X330","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",30
"X131","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",31
"X331","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",31
"X132","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",32
"X332","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",32
"X133","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",33
"X333","ArsenalARS","0","0","7","2","2","0","0","4","1","155","1","6","0","0","45%",33
"X134","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",34
"X334","ArsenalARS","0","0","9","2","2","0","0","4","1","158","1","7","0","0","45%",34
"X135","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","55%",35
"X335","ArsenalARS","0","0","9","2","2","0","0","4","1","158","1","7","0","0","45%",35
"X136","ChelseaCHE","0","0","4","2","2","0","0","10","2","194","3","1","0","0","53%",36
"X336","ArsenalARS","0","0","9","2","2","0","0","4","1","158","1","7","0","0","47%",36
"X137","ChelseaCHE","0","0","4","2","2","0","0","10","2","195","3","1","0","0","53%",37
"X337","ArsenalARS","0","0","9","2","2","0","0","5","1","158","1","7","0","0","47%",37
"X138","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",38
"X338","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",38
"X139","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",39
"X339","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",39
"X140","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",40
"X340","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",40
"X141","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",41
"X341","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",41
"X142","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",42
"X342","ArsenalARS","0","0","9","2","2","0","0","5","1","159","1","7","0","0","48%",42
"X143","ChelseaCHE","0","0","4","2","2","0","0","10","2","198","3","1","0","0","52%",43
"X343","ArsenalARS","0","0","11","2","2","0","0","5","1","186","1","7","0","0","48%",43
"X144","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",44
"X344","ArsenalARS","0","0","11","2","2","0","0","5","1","198","1","8","0","0","48%",44
"X145","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",45
"X345","ArsenalARS","0","0","9","2","2","0","0","5","1","212","1","8","0","0","48%",45
"X146","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",46
"X346","ArsenalARS","0","0","9","2","2","0","0","5","1","216","1","7","0","0","48%",46
"X147","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",47
"X347","ArsenalARS","0","0","9","2","2","0","0","5","1","224","1","7","0","0","48%",47
"X148","ChelseaCHE","0","0","4","2","2","0","0","10","2","196","3","1","0","0","52%",48
"X348","ArsenalARS","0","0","9","2","2","0","0","5","1","228","1","7","0","0","48%",48
"X149","ChelseaCHE","0","0","4","2","2","0","0","10","2","199","3","1","0","0","52%",49
"X349","ArsenalARS","0","0","9","2","2","0","0","5","1","229","1","7","0","0","48%",49
"X150","ChelseaCHE","0","0","4","2","2","0","0","10","2","204","3","1","0","0","52%",50
"X350","ArsenalARS","0","0","9","2","2","0","0","5","1","228","1","7","0","0","48%",50
"X151","ChelseaCHE","0","0","4","2","2","0","0","10","2","204","3","1","0","0","52%",51
"X351","ArsenalARS","0","0","9","2","2","0","0","5","1","228","1","7","0","0","48%",51
"X152","ChelseaCHE","0","0","4","2","2","0","0","10","2","218","3","1","0","0","52%",52
"X352","ArsenalARS","0","0","9","2","2","0","0","5","1","223","1","7","0","0","48%",52
"X153","ChelseaCHE","0","0","4","2","2","0","0","10","2","218","3","1","0","0","52%",53
"X353","ArsenalARS","0","0","9","2","2","0","0","5","1","223","1","7","0","0","48%",53
"X154","ChelseaCHE","0","0","4","2","2","0","0","10","2","218","3","1","0","0","52%",54
"X354","ArsenalARS","0","0","9","2","2","0","0","5","1","223","1","7","0","0","48%",54
"X155","ChelseaCHE","0","0","5","3","2","0","0","10","2","219","3","1","0","0","53%",55
"X355","ArsenalARS","0","0","10","2","2","0","0","5","1","227","1","7","0","0","47%",55
"X156","ChelseaCHE","0","0","5","3","2","0","0","10","2","219","3","1","0","0","53%",56
"X356","ArsenalARS","0","0","10","2","2","0","0","5","1","227","1","7","0","0","47%",56
"X157","ChelseaCHE","0","0","5","3","2","0","0","10","2","218","3","1","0","0","52%",57
"X357","ArsenalARS","0","0","10","2","2","0","0","5","1","225","1","7","0","0","48%",57
"X158","ChelseaCHE","0","0","5","3","2","0","0","10","2","218","3","1","0","0","53%",58
"X358","ArsenalARS","0","0","10","2","2","0","0","5","1","226","1","7","0","0","47%",58
"X159","ChelseaCHE","0","0","6","3","2","0","0","11","2","239","3","2","1","0","53%",59
"X359","ArsenalARS","0","0","10","2","3","0","0","5","1","236","1","8","0","0","47%",59
"X160","ChelseaCHE","0","0","6","3","2","0","0","11","2","245","3","2","1","0","53%",60
"X360","ArsenalARS","0","0","10","2","3","0","0","5","1","238","1","8","0","0","47%",60
"X161","ChelseaCHE","0","0","7","3","2","0","0","11","2","246","3","2","1","0","53%",61
"X361","ArsenalARS","0","0","10","2","3","0","0","5","1","244","1","8","0","0","47%",61
"X162","ChelseaCHE","0","0","7","3","2","0","0","11","2","246","3","2","1","0","53%",62
"X362","ArsenalARS","0","0","10","2","3","0","0","5","1","244","1","8","0","0","47%",62
"X163","ChelseaCHE","0","0","7","3","2","0","0","11","2","254","4","3","1","0","53%",63
"X363","ArsenalARS","0","0","10","2","3","0","0","5","1","257","1","8","0","0","47%",63
"X164","ChelseaCHE","0","0","7","3","2","0","0","11","2","259","4","3","1","0","54%",64
"X364","ArsenalARS","0","0","10","2","3","0","0","5","1","260","1","8","0","0","46%",64
"X165","ChelseaCHE","0","0","7","3","2","0","0","11","2","273","4","4","1","0","54%",65
"X365","ArsenalARS","0","0","10","2","3","0","0","5","1","276","1","8","0","0","46%",65
"X166","ChelseaCHE","0","0","7","3","2","0","0","11","2","277","4","4","1","0","54%",66
"X366","ArsenalARS","0","0","10","2","3","0","0","5","1","280","1","9","1","0","46%",66
"X167","ChelseaCHE","0","0","8","3","2","0","0","11","2","284","4","4","1","0","54%",67
"X367","ArsenalARS","0","0","10","2","3","0","0","5","1","279","1","9","1","0","46%",67
"X168","ChelseaCHE","0","0","8","3","2","0","0","11","2","293","4","4","1","0","54%",68
"X368","ArsenalARS","0","0","10","2","3","0","0","5","1","282","1","9","1","0","46%",68
"X169","ChelseaCHE","0","0","8","3","2","0","0","11","2","304","4","4","1","0","54%",69
"X369","ArsenalARS","0","0","10","2","3","0","0","5","1","286","1","9","0","0","46%",69
"X170","ChelseaCHE","0","0","8","3","2","0","0","11","2","304","4","4","1","0","55%",70
"X370","ArsenalARS","0","0","10","2","3","0","0","5","1","291","1","9","0","0","45%",70
