"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1","WatfordWAT","0","0","2","0","2","0","0","4","0","92","1","4","2","0","37%",0
"X3","Manchester CityMCI","3","3","15","5","0","0","0","16","5","242","0","3","0","0","63%",0
"X11","WatfordWAT","0","0","2","0","2","0","0","4","0","92","1","4","2","0","37%",1
"X31","Manchester CityMCI","3","3","15","5","0","0","0","16","5","243","0","3","0","0","63%",1
"X12","WatfordWAT","0","0","2","0","2","0","0","4","0","97","1","4","2","0","35%",2
"X32","Manchester CityMCI","3","3","15","5","0","0","0","17","5","262","0","3","0","0","65%",2
"X13","WatfordWAT","0","0","2","0","2","0","0","4","0","97","1","4","2","0","35%",3
"X33","Manchester CityMCI","3","3","15","5","0","0","0","17","5","262","0","3","0","0","65%",3
"X14","WatfordWAT","0","0","2","0","2","0","0","4","0","97","1","4","2","0","35%",4
"X34","Manchester CityMCI","3","3","15","5","0","0","0","17","5","262","0","3","0","0","65%",4
"X15","WatfordWAT","0","0","2","0","2","0","0","4","0","96","1","4","2","0","35%",5
"X35","Manchester CityMCI","3","3","14","5","0","0","0","18","5","272","0","3","0","0","65%",5
