"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1","WatfordWAT","0","0","2","0","1","0","0","3","0","54","1","3","1","0","32%",0
"X3","Manchester CityMCI","1","1","11","2","0","0","0","13","5","166","0","2","0","0","68%",0
"X11","WatfordWAT","0","0","2","0","1","0","0","3","0","58","1","3","1","0","33%",1
"X31","Manchester CityMCI","2","1","12","3","0","0","0","14","5","170","0","2","0","0","67%",1
"X12","WatfordWAT","0","0","2","0","1","0","0","3","0","58","1","3","1","0","33%",2
"X32","Manchester CityMCI","2","2","12","3","0","0","0","14","5","171","0","2","0","0","67%",2
"X13","WatfordWAT","0","0","2","0","1","0","0","3","0","63","1","3","1","0","35%",3
"X33","Manchester CityMCI","2","2","12","3","0","0","0","14","5","181","0","2","0","0","65%",3
"X14","WatfordWAT","0","0","2","0","1","0","0","3","0","63","1","3","1","0","35%",4
"X34","Manchester CityMCI","2","2","12","3","0","0","0","15","5","182","0","2","0","0","65%",4
"X15","WatfordWAT","0","0","2","0","1","0","0","3","0","63","1","3","1","0","35%",5
"X35","Manchester CityMCI","2","2","12","3","0","0","0","15","5","182","0","2","0","0","65%",5
"X16","WatfordWAT","0","0","2","0","1","0","0","3","0","69","1","3","1","0","36%",6
"X36","Manchester CityMCI","2","2","13","4","0","0","0","15","5","196","0","2","0","0","64%",6
"X17","WatfordWAT","0","0","2","0","1","0","0","3","0","69","1","3","1","0","36%",7
"X37","Manchester CityMCI","3","2","14","5","0","0","0","15","5","199","0","2","0","0","64%",7
"X18","WatfordWAT","0","0","2","0","2","0","0","3","0","78","1","3","1","0","36%",8
"X38","Manchester CityMCI","3","3","14","5","0","0","0","16","5","210","0","2","0","0","64%",8
"X19","WatfordWAT","0","0","2","0","2","0","0","3","0","78","1","3","1","0","36%",9
"X39","Manchester CityMCI","3","3","14","5","0","0","0","16","5","210","0","2","0","0","64%",9
"X110","WatfordWAT","0","0","2","0","2","0","0","3","0","79","1","4","2","0","36%",10
"X310","Manchester CityMCI","3","3","14","5","0","0","0","16","5","222","0","2","0","0","64%",10
"X111","WatfordWAT","0","0","2","0","2","0","0","4","0","83","1","4","2","0","37%",11
"X311","Manchester CityMCI","3","3","15","5","0","0","0","16","5","231","0","2","0","0","63%",11
"X112","WatfordWAT","0","0","2","0","2","0","0","4","0","84","1","4","2","0","37%",12
"X312","Manchester CityMCI","3","3","15","5","0","0","0","16","5","234","0","3","0","0","63%",12
"X113","WatfordWAT","0","0","2","0","2","0","0","4","0","88","1","4","2","0","37%",13
"X313","Manchester CityMCI","3","3","15","5","0","0","0","16","5","242","0","3","0","0","63%",13
