"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1","WatfordWAT","0","0","6","1","3","0","0","12","3","157","2","6","2","0","37%",0
"X3","Manchester CityMCI","4","4","21","7","1","0","0","26","10","442","0","4","0","0","63%",0
"X11","WatfordWAT","0","0","6","1","3","0","0","12","3","157","2","6","2","0","37%",1
"X31","Manchester CityMCI","4","4","21","7","1","0","0","26","10","442","0","4","0","0","63%",1
"X12","WatfordWAT","0","0","6","1","3","0","0","12","3","157","2","6","2","0","37%",2
"X32","Manchester CityMCI","4","4","21","7","1","0","0","26","10","442","0","4","0","0","63%",2
"X13","WatfordWAT","0","0","7","1","3","0","0","12","3","162","2","6","2","0","38%",3
"X33","Manchester CityMCI","4","4","21","7","1","0","0","26","10","453","0","4","0","0","62%",3
"X14","WatfordWAT","0","0","7","1","3","0","0","13","3","162","2","6","2","0","37%",4
"X34","Manchester CityMCI","4","4","22","7","1","0","0","26","10","459","0","4","0","0","63%",4
"X15","WatfordWAT","0","0","7","1","3","0","0","13","3","170","2","6","2","0","40%",5
"X35","Manchester CityMCI","4","4","22","7","1","0","0","26","10","464","0","4","0","0","60%",5
"X16","WatfordWAT","0","0","7","1","3","0","0","13","3","175","2","6","2","0","40%",6
"X36","Manchester CityMCI","4","4","22","7","1","0","0","26","10","467","0","4","0","0","60%",6
"X17","WatfordWAT","0","0","7","1","3","0","0","13","3","175","2","6","2","0","40%",7
"X37","Manchester CityMCI","4","4","22","7","1","0","0","26","10","467","0","4","0","0","60%",7
"X18","WatfordWAT","0","0","7","1","3","0","0","13","3","187","2","6","2","0","40%",8
"X38","Manchester CityMCI","5","4","23","8","1","0","0","27","11","476","1","4","0","0","60%",8
"X19","WatfordWAT","0","0","7","1","3","0","0","13","3","188","2","6","2","0","40%",9
"X39","Manchester CityMCI","5","4","23","8","1","0","0","27","11","482","1","4","0","0","60%",9
"X110","WatfordWAT","0","0","7","1","3","0","0","13","3","190","2","6","2","0","39%",10
"X310","Manchester CityMCI","5","5","23","8","1","0","0","28","11","491","1","4","0","0","61%",10
"X111","WatfordWAT","0","0","7","1","3","0","0","13","3","191","2","7","2","0","38%",11
"X311","Manchester CityMCI","5","5","24","8","1","0","0","28","11","493","1","4","0","0","62%",11
"X112","WatfordWAT","0","0","7","1","3","0","0","13","3","191","2","7","2","0","38%",12
"X312","Manchester CityMCI","5","5","24","8","1","0","0","28","11","495","1","4","0","0","62%",12
"X113","WatfordWAT","0","0","7","1","3","0","0","13","3","191","2","7","2","0","38%",13
"X313","Manchester CityMCI","5","5","25","8","1","0","0","28","11","502","1","4","0","0","62%",13
"X114","WatfordWAT","0","0","7","1","3","0","0","13","3","193","2","8","2","0","40%",14
"X314","Manchester CityMCI","5","5","25","8","1","0","0","28","11","517","1","4","0","0","60%",14
"X115","WatfordWAT","0","0","7","1","3","0","0","14","3","205","2","8","2","0","40%",15
"X315","Manchester CityMCI","6","5","26","9","1","1","1","28","11","528","1","4","0","0","60%",15
"X116","WatfordWAT","0","0","7","1","3","0","0","14","3","206","2","8","2","0","40%",16
"X316","Manchester CityMCI","6","5","26","9","1","1","1","29","11","530","1","4","0","0","60%",16
"X117","WatfordWAT","0","0","7","1","3","0","0","14","3","207","2","8","2","0","40%",17
"X317","Manchester CityMCI","6","5","26","9","1","1","1","29","11","539","1","5","0","0","60%",17
"X118","WatfordWAT","0","0","7","1","3","0","0","15","3","211","2","8","2","0","40%",18
"X318","Manchester CityMCI","6","5","27","9","1","1","1","29","11","544","1","5","0","0","60%",18
"X119","WatfordWAT","0","0","7","1","3","0","0","15","3","209","2","8","2","0","40%",19
"X319","Manchester CityMCI","6","5","26","9","1","1","1","29","11","543","1","5","0","0","60%",19
