"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1","WatfordWAT","0","0","2","0","2","0","0","4","0","95","1","4","2","0","35%",0
"X3","Manchester CityMCI","3","3","14","5","0","0","0","18","5","321","0","3","0","0","65%",0
"X11","WatfordWAT","0","0","2","0","2","0","0","4","0","97","1","4","2","0","35%",1
"X31","Manchester CityMCI","3","3","14","5","0","0","0","18","5","321","0","3","0","0","65%",1
"X12","WatfordWAT","0","0","2","0","2","0","0","5","0","99","1","4","2","0","37%",2
"X32","Manchester CityMCI","3","3","14","5","0","0","0","18","5","321","0","3","0","0","63%",2
"X13","WatfordWAT","0","0","3","0","2","0","0","5","0","111","1","5","2","0","37%",3
"X33","Manchester CityMCI","3","3","14","5","0","0","0","18","5","326","0","3","0","0","63%",3
"X14","WatfordWAT","0","0","3","0","2","0","0","6","0","113","1","6","2","0","37%",4
"X34","Manchester CityMCI","3","3","14","5","0","0","0","18","5","327","0","3","0","0","63%",4
"X15","WatfordWAT","0","0","3","0","2","0","0","6","0","113","1","6","2","0","36%",5
"X35","Manchester CityMCI","3","3","14","5","0","0","0","18","5","327","0","3","0","0","64%",5
"X16","WatfordWAT","0","0","3","0","2","0","0","6","0","116","1","6","2","0","36%",6
"X36","Manchester CityMCI","3","3","14","5","0","0","0","18","6","328","0","3","0","0","64%",6
"X17","WatfordWAT","0","0","3","0","2","0","0","6","1","119","1","6","2","0","36%",7
"X37","Manchester CityMCI","3","3","14","5","0","0","0","18","6","328","0","3","0","0","64%",7
"X18","WatfordWAT","0","0","3","0","2","0","0","6","0","116","1","6","2","0","36%",8
"X38","Manchester CityMCI","3","3","14","5","0","0","0","18","6","328","0","3","0","0","64%",8
"X19","WatfordWAT","0","0","4","1","2","0","0","7","1","126","2","6","2","0","38%",9
"X39","Manchester CityMCI","3","3","15","5","0","0","0","18","6","331","0","3","0","0","62%",9
"X110","WatfordWAT","0","0","4","1","2","0","0","7","1","125","2","6","2","0","37%",10
"X310","Manchester CityMCI","3","3","15","5","0","0","0","18","6","340","0","3","0","0","63%",10
"X111","WatfordWAT","0","0","4","1","2","0","0","7","1","125","2","6","2","0","37%",11
"X311","Manchester CityMCI","3","3","16","5","0","0","0","18","6","347","0","3","0","0","63%",11
"X112","WatfordWAT","0","0","5","1","2","0","0","8","1","127","2","6","2","0","37%",12
"X312","Manchester CityMCI","3","3","17","5","0","0","0","20","6","357","0","3","0","0","63%",12
"X113","WatfordWAT","0","0","5","1","2","0","0","8","1","125","2","6","2","0","36%",13
"X313","Manchester CityMCI","3","3","18","5","0","0","0","20","6","360","0","3","0","0","64%",13
"X114","WatfordWAT","0","0","5","1","2","0","0","8","2","132","2","6","2","0","37%",14
"X314","Manchester CityMCI","3","3","18","5","1","0","0","20","6","363","0","3","0","0","63%",14
"X115","WatfordWAT","0","0","6","1","2","0","0","10","2","134","2","6","2","0","37%",15
"X315","Manchester CityMCI","3","3","18","5","1","0","0","21","7","371","0","3","0","0","63%",15
"X116","WatfordWAT","0","0","6","1","2","0","0","10","2","133","2","6","2","0","37%",16
"X316","Manchester CityMCI","3","3","19","5","1","0","0","22","8","375","0","3","0","0","63%",16
"X117","WatfordWAT","0","0","6","1","2","0","0","10","2","133","2","6","2","0","36%",17
"X317","Manchester CityMCI","3","3","19","5","1","0","0","22","9","381","0","3","0","0","64%",17
"X118","WatfordWAT","0","0","6","1","3","0","0","10","2","133","2","6","2","0","36%",18
"X318","Manchester CityMCI","4","3","21","7","1","0","0","22","9","383","0","3","0","0","64%",18
"X119","WatfordWAT","0","0","6","1","3","0","0","10","2","133","2","6","2","0","36%",19
"X319","Manchester CityMCI","4","4","21","7","1","0","0","23","9","388","0","3","0","0","64%",19
"X120","WatfordWAT","0","0","6","1","3","0","0","10","2","133","2","6","2","0","36%",20
"X320","Manchester CityMCI","4","4","21","7","1","0","0","23","10","390","0","3","0","0","64%",20
"X121","WatfordWAT","0","0","6","1","3","0","0","10","2","134","2","6","2","0","35%",21
"X321","Manchester CityMCI","4","4","21","7","1","0","0","24","10","403","0","3","0","0","65%",21
