"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"1","ARS",4,4,27,10,0,0,0,25,9,554,5,9,0,0,0.65,"20170811","LEI",3,"ARSvLEI20170811","home",1,3,0.148148148148148,0.4,0,138.5,Inf,Inf,1,1,"ARS-1","LEI-1",3,1,4,5,13,8,0,0,2.66666666666667,NA,NA,NA,NA,NA,NA
"2","LEI",3,3,6,3,6,0,0,26,4,173,3,12,1,0,0.35,"20170811","ARS",4,"ARSvLEI20170811","away",0,0,0.5,1,0,57.6666666666667,12,Inf,-1,1,"LEI-1","ARS-1",0,-1,3,13,5,-8,0,1,-Inf,NA,NA,NA,NA,NA,NA
"3","WAT",3,1,9,4,2,0,0,22,3,292,3,14,0,0,0.48,"20170812","LIV",3,"WATvLIV20170812","home",0,1,0.333333333333333,0.75,2,97.3333333333333,Inf,Inf,0,1,"WAT-1","LIV-1",1,0,3,9,10,1,1,0,1,NA,NA,NA,NA,NA,NA
"4","LIV",3,2,14,5,1,1,1,16,3,370,1,8,3,0,0.52,"20170812","WAT",3,"WATvLIV20170812","away",0,1,0.214285714285714,0.6,1,123.333333333333,2.66666666666667,Inf,0,1,"LIV-1","WAT-1",1,0,3,10,9,-1,1,0,-1,NA,NA,NA,NA,NA,NA
"5","CHE",2,2,19,6,2,0,0,35,8,472,2,16,3,2,0.6,"20170812","BUR",3,"CHEvBUR20170812","home",0,0,0.105263157894737,0.333333333333333,0,236,5.33333333333333,8,-1,1,"CHE-1","BUR-1",0,-1,2,14,6,-8,0,1,-Inf,NA,NA,NA,NA,NA,NA
"6","BUR",3,3,10,5,4,0,0,17,5,260,1,11,3,0,0.4,"20170812","CHE",2,"CHEvBUR20170812","away",1,3,0.3,0.6,0,86.6666666666667,3.66666666666667,Inf,1,1,"BUR-1","CHE-1",3,1,3,6,14,8,0,0,2.66666666666667,NA,NA,NA,NA,NA,NA
"7","EVE",1,1,9,4,1,0,0,22,6,416,2,13,1,0,0.58,"20170812","STK",0,"EVEvSTK20170812","home",1,3,0.111111111111111,0.25,0,416,13,Inf,1,1,"EVE-1","STK-1",3,1,1,7,15,8,0,0,2.66666666666667,NA,NA,NA,NA,NA,NA
"8","STK",0,0,9,1,3,0,0,30,7,226,6,10,1,0,0.42,"20170812","EVE",1,"EVEvSTK20170812","away",0,0,0,0,0,Inf,10,Inf,-1,1,"STK-1","EVE-1",0,-1,0,15,7,-8,0,0,-Inf,NA,NA,NA,NA,NA,NA
"9","SOU",0,0,29,2,0,0,0,37,13,457,0,10,2,0,0.57,"20170812","SWA",0,"SOUvSWA20170812","home",0,1,0,0,0,Inf,5,Inf,0,1,"SOU-1","SWA-1",1,0,0,11,12,1,1,0,1,NA,NA,NA,NA,NA,NA
"10","SWA",0,0,4,0,2,0,0,11,0,284,1,13,1,0,0.43,"20170812","SOU",0,"SOUvSWA20170812","away",0,1,0,NA,0,Inf,13,Inf,0,1,"SWA-1","SOU-1",1,0,0,12,11,-1,1,0,-1,NA,NA,NA,NA,NA,NA
