"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"11","CRY",0,0,14,4,4,0,0,31,12,331,0,7,1,0,0.55,"20170812","HUD",3,"CRYvHUD20170812","home",0,0,0,0,0,Inf,7,Inf,-3,1,"CRY-1","HUD-1",0,-3,0,19,2,-17,0,1,-Inf,NA,NA,NA,NA,NA,NA
"12","HUD",3,2,8,6,4,0,0,20,9,217,2,19,3,0,0.45,"20170812","CRY",0,"CRYvHUD20170812","away",1,3,0.375,0.5,1,72.3333333333333,6.33333333333333,Inf,3,1,"HUD-1","CRY-1",3,3,3,2,19,17,0,0,5.66666666666667,NA,NA,NA,NA,NA,NA
"13","WBA",1,1,16,6,2,0,0,24,8,171,2,15,3,0,0.37,"20170812","BOU",0,"WBAvBOU20170812","home",1,3,0.0625,0.166666666666667,0,171,5,Inf,1,1,"WBA-1","BOU-1",3,1,1,8,16,8,0,0,2.66666666666667,NA,NA,NA,NA,NA,NA
"14","BOU",0,0,9,2,5,0,0,30,2,562,0,3,1,0,0.63,"20170812","WBA",1,"WBAvBOU20170812","away",0,0,0,0,0,Inf,3,Inf,-1,1,"BOU-1","WBA-1",0,-1,0,16,8,-8,0,0,-Inf,NA,NA,NA,NA,NA,NA
"15","BHA",0,0,6,2,3,0,0,8,3,130,6,6,0,0,0.28,"20170812","MCI",2,"BHAvMCI20170812","home",0,0,0,0,0,Inf,Inf,Inf,-2,1,"BHA-1","MCI-1",0,-2,0,17,3,-14,0,1,-Inf,NA,NA,NA,NA,NA,NA
"16","MCI",2,1,14,4,2,0,0,31,10,701,1,9,2,0,0.72,"20170812","BHA",0,"BHAvMCI20170812","away",1,3,0.142857142857143,0.5,1,350.5,4.5,Inf,2,1,"MCI-1","BHA-1",3,2,2,3,17,14,0,0,4.66666666666667,NA,NA,NA,NA,NA,NA
"17","NEW",0,0,6,3,4,0,0,19,5,190,2,6,1,1,0.32,"20170813","TOT",2,"NEWvTOT20170813","home",0,0,0,0,0,Inf,6,6,-2,1,"NEW-1","TOT-1",0,-2,0,18,4,-14,0,1,-Inf,NA,NA,NA,NA,NA,NA
"18","TOT",2,2,18,6,3,0,0,23,7,668,1,10,2,0,0.68,"20170813","NEW",0,"NEWvTOT20170813","away",1,3,0.111111111111111,0.333333333333333,0,334,5,Inf,2,1,"TOT-1","NEW-1",3,2,2,4,18,14,0,0,4.66666666666667,NA,NA,NA,NA,NA,NA
"19","MUN",4,4,22,6,1,0,0,22,11,419,1,19,2,0,0.55,"20170813","WHU",0,"MUNvWHU20170813","home",1,3,0.181818181818182,0.666666666666667,0,104.75,9.5,Inf,4,1,"MUN-1","WHU-1",3,4,4,1,20,19,0,0,6.33333333333333,NA,NA,NA,NA,NA,NA
"20","WHU",0,0,9,1,2,0,0,16,1,318,4,7,2,0,0.45,"20170813","MUN",4,"MUNvWHU20170813","away",0,0,0,0,0,Inf,3.5,Inf,-4,1,"WHU-1","MUN-1",0,-4,0,20,1,-19,0,1,-Inf,NA,NA,NA,NA,NA,NA
"21","SWA",0,0,6,1,4,0,0,25,3,343,1,12,1,0,0.42,"20170819","MUN",4,"SWAvMUN20170819","home",0,0,0,0,0,Inf,12,Inf,-4,2,"SWA-2","MUN-2",1,-4,0,15,1,-14,0,1,-Inf,1,NA,NA,11,NA,NA
"22","MUN",4,3,17,8,1,0,0,22,5,523,0,11,1,0,0.58,"20170819","SWA",0,"SWAvMUN20170819","away",1,3,0.235294117647059,0.5,1,130.75,11,Inf,4,2,"MUN-2","SWA-2",6,8,8,1,15,14,0,0,4.66666666666667,3,NA,NA,20,NA,NA
"23","LEI",2,1,14,4,2,0,0,22,6,354,1,8,1,0,0.48,"20170819","BHA",0,"LEIvBHA20170819","home",1,3,0.142857142857143,0.5,1,177,8,Inf,2,2,"LEI-2","BHA-2",3,1,5,9,18,9,0,0,3,0,NA,NA,5,NA,NA
"24","BHA",0,0,5,2,2,0,0,19,2,452,2,10,0,0,0.52,"20170819","LEI",2,"LEIvBHA20170819","away",0,0,0,0,0,Inf,Inf,Inf,-2,2,"BHA-2","LEI-2",0,-4,0,18,9,-9,0,0,-Inf,0,NA,NA,3,NA,NA
"25","LIV",1,0,23,13,1,0,0,30,4,623,2,12,1,0,0.64,"20170819","CRY",0,"LIVvCRY20170819","home",1,3,0.0434782608695652,0.0769230769230769,1,623,12,Inf,1,2,"LIV-2","CRY-2",4,1,4,6,19,13,0,0,4.33333333333333,1,NA,NA,9,NA,NA
"26","CRY",0,0,4,1,12,0,0,13,2,184,4,13,3,0,0.36,"20170819","LIV",1,"LIVvCRY20170819","away",0,0,0,0,0,Inf,4.33333333333333,Inf,-1,2,"CRY-2","LIV-2",0,-4,0,19,6,-13,0,1,-Inf,0,NA,NA,2,NA,NA
"27","SOU",3,1,14,5,6,2,2,28,7,497,1,18,1,0,0.62,"20170819","WHU",2,"SOUvWHU20170819","home",1,3,0.214285714285714,0.6,2,165.666666666667,18,Inf,1,2,"SOU-2","WHU-2",4,1,3,7,20,13,0,0,4.33333333333333,1,NA,NA,12,NA,NA
"28","WHU",2,0,16,8,2,0,0,17,2,201,0,10,1,1,0.38,"20170819","SOU",3,"SOUvWHU20170819","away",0,0,0.125,0.25,2,100.5,10,10,-1,2,"WHU-2","SOU-2",0,-5,2,20,7,-13,0,0,-Inf,0,NA,NA,1,NA,NA
"29","BUR",0,0,20,0,0,0,0,33,5,410,1,11,1,0,0.64,"20170819","WBA",1,"BURvWBA20170819","home",0,0,0,NA,0,Inf,11,Inf,-1,2,"BUR-2","WBA-2",3,0,3,13,3,-10,0,1,-Inf,3,NA,NA,14,NA,NA
"30","WBA",1,1,8,1,0,0,0,15,5,128,3,11,0,1,0.36,"20170819","BUR",0,"BURvWBA20170819","away",1,3,0.125,1,0,128,Inf,11,1,2,"WBA-2","BUR-2",6,2,2,3,13,10,0,0,3.33333333333333,3,NA,NA,16,NA,NA
"31","BOU",0,0,6,2,5,0,0,27,8,371,1,6,1,0,0.54,"20170819","WAT",2,"BOUvWAT20170819","home",0,0,0,0,0,Inf,6,Inf,-2,2,"BOU-2","WAT-2",0,-3,0,16,4,-12,0,1,-Inf,0,NA,NA,8,NA,NA
"32","WAT",2,0,19,7,2,0,0,33,5,291,7,14,3,0,0.46,"20170819","BOU",0,"BOUvWAT20170819","away",1,3,0.105263157894737,0.285714285714286,2,145.5,4.66666666666667,Inf,2,2,"WAT-2","BOU-2",4,2,5,4,16,12,0,0,4,1,NA,NA,10,NA,NA
"33","STK",1,1,11,4,6,0,0,13,2,134,4,6,0,0,0.33,"20170819","ARS",0,"STKvARS20170819","home",1,3,0.0909090909090909,0.25,0,134,Inf,Inf,1,2,"STK-2","ARS-2",3,0,1,14,11,-3,1,0,-1,0,NA,NA,7,NA,NA
"34","ARS",0,0,18,6,3,0,0,31,9,650,3,11,0,0,0.67,"20170819","STK",1,"STKvARS20170819","away",0,0,0,0,0,Inf,Inf,Inf,-1,2,"ARS-2","STK-2",3,0,4,11,14,3,1,0,Inf,3,NA,NA,13,NA,NA
"35","HUD",1,1,7,3,5,0,0,21,7,372,4,13,3,0,0.55,"20170820","NEW",0,"HUDvNEW20170820","home",1,3,0.142857142857143,0.333333333333333,0,372,4.33333333333333,Inf,1,2,"HUD-2","NEW-2",6,4,4,2,17,15,0,0,5,3,NA,NA,19,NA,NA
"36","NEW",0,0,13,5,2,0,0,19,3,312,5,10,4,0,0.45,"20170820","HUD",1,"HUDvNEW20170820","away",0,0,0,0,0,Inf,2.5,Inf,-1,2,"NEW-2","HUD-2",0,-3,0,17,2,-15,0,1,-Inf,0,NA,NA,4,NA,NA
"37","TOT",1,0,18,6,0,0,0,44,14,529,0,14,4,0,0.62,"20170820","CHE",2,"TOTvCHE20170820","home",0,0,0.0555555555555556,0.166666666666667,1,529,3.5,Inf,-1,2,"TOT-2","CHE-2",3,1,3,10,12,2,1,0,Inf,3,NA,NA,18,NA,NA
"38","CHE",2,1,9,2,6,0,0,16,3,203,0,21,3,0,0.38,"20170820","TOT",1,"TOTvCHE20170820","away",1,3,0.222222222222222,1,1,101.5,7,Inf,1,2,"CHE-2","TOT-2",3,0,4,12,10,-2,1,0,-0.666666666666667,0,NA,NA,6,NA,NA
"39","MCI",1,0,19,6,1,0,0,29,7,465,0,7,1,1,0.61,"20170821","EVE",1,"MCIvEVE20170821","home",0,1,0.0526315789473684,0.166666666666667,1,465,7,7,0,2,"MCI-2","EVE-2",4,2,3,5,8,3,1,0,3,3,NA,NA,17,NA,NA
"40","EVE",1,1,7,2,5,0,0,10,1,213,3,9,2,1,0.39,"20170821","MCI",1,"MCIvEVE20170821","away",0,1,0.142857142857143,0.5,0,213,4.5,9,0,2,"EVE-2","MCI-2",4,1,2,8,5,-3,1,1,-3,3,NA,NA,15,NA,NA
"41","BOU",1,0,9,3,6,0,0,13,2,170,0,13,5,0,0.35,"20170826","MCI",2,"BOUvMCI20170826","home",0,0,0.111111111111111,0.333333333333333,1,170,2.6,Inf,-1,3,"BOU-3","MCI-3",0,-4,1,18,4,-14,0,1,-Inf,0,0,NA,4,8,NA
"42","MCI",2,2,19,8,2,0,0,35,5,559,3,14,4,1,0.65,"20170826","BOU",1,"BOUvMCI20170826","away",1,3,0.105263157894737,0.25,0,279.5,3.5,14,1,3,"MCI-3","BOU-3",7,3,5,4,18,14,0,0,4.66666666666667,1,3,NA,8,17,NA
"43","NEW",3,3,16,8,3,0,0,26,7,176,0,17,1,0,0.39,"20170826","WHU",0,"NEWvWHU20170826","home",1,3,0.1875,0.375,0,58.6666666666667,17,Inf,3,3,"NEW-3","WHU-3",3,0,3,14,20,6,0,0,2,0,0,NA,2,4,NA
"44","WHU",0,0,8,3,5,0,0,15,5,384,2,11,3,0,0.61,"20170826","NEW",3,"NEWvWHU20170826","away",0,0,0,0,0,Inf,3.66666666666667,Inf,-3,3,"WHU-3","NEW-3",0,-8,2,20,14,-6,0,0,-Inf,0,0,NA,7,1,NA
"45","CRY",0,0,16,3,1,0,0,26,1,434,0,9,4,0,0.5,"20170826","SWA",2,"CRYvSWA20170826","home",0,0,0,0,0,Inf,2.25,Inf,-2,3,"CRY-3","SWA-3",0,-6,0,19,13,-6,0,0,-Inf,0,0,NA,6,2,NA
"46","SWA",2,2,7,3,3,0,0,5,1,381,3,6,1,0,0.5,"20170826","CRY",0,"CRYvSWA20170826","away",1,3,0.285714285714286,0.666666666666667,0,190.5,6,Inf,2,3,"SWA-3","CRY-3",4,-2,2,13,19,6,0,0,2,0,1,NA,1,11,NA
"47","WAT",0,0,8,0,2,0,0,17,3,253,0,7,0,1,0.43,"20170826","BHA",0,"WATvBHA20170826","home",0,1,0,NA,0,Inf,Inf,7,0,3,"WAT-3","BHA-3",5,2,5,7,17,10,0,0,10,3,1,NA,16,10,NA
"48","BHA",0,0,16,2,0,0,0,36,11,384,5,18,1,0,0.57,"20170826","WAT",0,"WATvBHA20170826","away",0,1,0,0,0,Inf,18,Inf,0,3,"BHA-3","WAT-3",1,-4,0,17,7,-10,0,0,-10,0,0,NA,9,3,NA
"49","HUD",0,0,16,6,2,0,0,36,5,301,0,10,0,0,0.48,"20170826","SOU",0,"HUDvSOU20170826","home",0,1,0,0,0,Inf,Inf,Inf,0,3,"HUD-3","SOU-3",7,4,4,3,8,5,0,0,5,3,3,NA,17,19,NA
"50","SOU",0,0,6,3,6,0,0,10,4,404,3,10,1,0,0.52,"20170826","HUD",0,"HUDvSOU20170826","away",0,1,0,0,0,Inf,10,Inf,0,3,"SOU-3","HUD-3",5,1,3,8,3,-5,0,1,-5,3,1,NA,20,12,NA
"51","MUN",2,2,22,7,4,0,1,46,9,596,2,8,1,0,0.65,"20170826","LEI",0,"MUNvLEI20170826","home",1,3,0.0909090909090909,0.285714285714286,0,298,8,Inf,2,3,"MUN-3","LEI-3",9,10,10,1,15,14,0,0,4.66666666666667,3,3,NA,15,20,NA
"52","LEI",0,0,11,4,5,0,0,14,3,206,3,7,2,0,0.35,"20170826","MUN",2,"MUNvLEI20170826","away",0,0,0,0,0,Inf,3.5,Inf,-2,3,"LEI-3","MUN-3",3,-1,5,15,1,-14,0,1,-Inf,3,0,NA,18,5,NA
"53","CHE",2,2,18,7,0,0,0,21,6,512,0,12,2,0,0.56,"20170827","EVE",0,"CHEvEVE20170827","home",1,3,0.111111111111111,0.285714285714286,0,256,6,Inf,2,3,"CHE-3","EVE-3",6,2,6,6,12,6,0,0,2,3,0,NA,10,6,NA
"54","EVE",0,0,7,0,5,0,0,15,3,368,0,7,2,0,0.44,"20170827","CHE",2,"CHEvEVE20170827","away",0,0,0,NA,0,Inf,3.5,Inf,-2,3,"EVE-3","CHE-3",4,-1,2,12,6,-6,0,1,-Inf,1,3,NA,5,15,NA
"55","WBA",1,1,10,2,1,0,0,37,10,267,2,10,2,0,0.43,"20170827","STK",1,"WBAvSTK20170827","home",0,1,0.1,0.5,0,267,5,Inf,0,3,"WBA-3","STK-3",7,2,3,5,11,6,0,0,6,3,3,NA,13,16,NA
"56","STK",1,0,16,2,1,0,0,26,4,403,0,9,2,0,0.57,"20170827","WBA",1,"WBAvSTK20170827","away",0,1,0.0625,0.5,1,403,4.5,Inf,0,3,"STK-3","WBA-3",4,0,2,11,5,-6,0,1,-6,3,0,NA,11,7,NA
"57","LIV",4,3,18,10,0,0,0,20,4,438,3,6,2,0,0.51,"20170827","ARS",0,"LIVvARS20170827","home",1,3,0.222222222222222,0.4,1,109.5,3,Inf,4,3,"LIV-3","ARS-3",7,5,8,2,16,14,0,0,4.66666666666667,3,1,NA,19,9,NA
"58","ARS",0,0,8,0,6,0,0,9,3,448,5,9,4,0,0.49,"20170827","LIV",4,"LIVvARS20170827","away",0,0,0,NA,0,Inf,2.25,Inf,-4,3,"ARS-3","LIV-3",3,-4,4,16,2,-14,0,1,-Inf,0,3,NA,14,13,NA
"59","TOT",1,0,28,5,2,0,0,33,10,514,1,9,0,0,0.66,"20170827","BUR",1,"TOTvBUR20170827","home",0,1,0.0357142857142857,0.2,1,514,Inf,Inf,0,3,"TOT-3","BUR-3",4,1,4,9,10,1,1,0,1,0,3,NA,12,18,NA
"60","BUR",1,1,13,3,4,0,0,21,7,210,6,9,0,0,0.34,"20170827","TOT",1,"TOTvBUR20170827","away",0,1,0.0769230769230769,0.333333333333333,0,210,Inf,Inf,0,3,"BUR-3","TOT-3",4,0,4,10,9,-1,1,0,-1,0,3,NA,3,14,NA
"61","MCI",5,5,13,10,3,0,0,28,8,685,5,10,2,0,0.62,"20170909","LIV",0,"MCIvLIV20170909","home",1,3,0.384615384615385,0.5,0,137,5,Inf,5,4,"MCI-4","LIV-4",10,8,10,2,8,6,0,0,2,3,1,3,18,8,17
"62","LIV",0,0,7,3,5,0,0,11,3,317,2,9,2,1,0.38,"20170909","MCI",5,"MCIvLIV20170909","away",0,0,0,0,0,Inf,4.5,9,-5,4,"LIV-4","MCI-4",7,0,8,8,2,-6,0,1,-Inf,3,3,1,16,19,9
"63","ARS",3,3,17,9,2,0,0,21,10,492,4,14,0,0,0.52,"20170909","BOU",0,"ARSvBOU20170909","home",1,3,0.176470588235294,0.333333333333333,0,164,Inf,Inf,3,4,"ARS-4","BOU-4",6,-1,7,11,19,8,0,0,2.66666666666667,0,0,3,2,14,13
"64","BOU",0,0,7,2,6,0,0,25,3,315,0,10,1,0,0.48,"20170909","ARS",3,"ARSvBOU20170909","away",0,0,0,0,0,Inf,10,Inf,-3,4,"BOU-4","ARS-4",0,-7,1,19,11,-8,0,0,-Inf,0,0,0,4,4,8
"65","EVE",0,0,12,1,3,0,0,30,7,385,4,14,3,0,0.49,"20170909","TOT",3,"EVEvTOT20170909","home",0,0,0,0,0,Inf,4.66666666666667,Inf,-3,4,"EVE-4","TOT-4",4,-4,2,16,5,-11,0,1,-Inf,0,1,3,6,5,15
"66","TOT",3,2,15,6,1,0,0,27,3,407,3,14,1,0,0.51,"20170909","EVE",0,"EVEvTOT20170909","away",1,3,0.2,0.5,1,135.666666666667,14,Inf,3,4,"TOT-4","EVE-4",7,4,7,5,16,11,0,0,3.66666666666667,1,0,3,10,12,18
"67","LEI",1,0,8,2,4,1,1,26,2,286,1,11,1,0,0.42,"20170909","CHE",2,"LEIvCHE20170909","home",0,0,0.125,0.5,1,286,11,Inf,-1,4,"LEI-4","CHE-4",3,-2,6,17,3,-14,0,1,-Inf,0,3,0,1,18,5
"68","CHE",2,2,16,6,1,0,0,26,9,466,3,8,0,0,0.58,"20170909","LEI",1,"LEIvCHE20170909","away",1,3,0.125,0.333333333333333,0,233,Inf,Inf,1,4,"CHE-4","LEI-4",9,3,8,3,17,14,0,0,4.66666666666667,3,3,0,12,10,6
"69","SOU",0,0,9,1,1,0,0,27,7,329,2,8,0,0,0.52,"20170909","WAT",2,"SOUvWAT20170909","home",0,0,0,0,0,Inf,Inf,Inf,-2,4,"SOU-4","WAT-4",5,-1,3,13,4,-9,0,1,-Inf,1,3,1,3,20,12
"70","WAT",2,2,12,3,1,0,0,18,4,287,1,11,0,0,0.48,"20170909","SOU",0,"SOUvWAT20170909","away",1,3,0.166666666666667,0.666666666666667,0,143.5,Inf,Inf,2,4,"WAT-4","SOU-4",8,4,7,4,13,9,0,0,3,1,3,1,17,16,10
"71","BHA",3,3,12,6,2,0,0,16,2,376,1,9,2,0,0.47,"20170909","WBA",1,"BHAvWBA20170909","home",1,3,0.25,0.5,0,125.333333333333,4.5,Inf,2,4,"BHA-4","WBA-4",4,-2,3,14,9,-5,0,0,-1.66666666666667,1,0,0,7,9,3
"72","WBA",1,1,12,3,3,0,0,33,6,392,1,4,0,0,0.53,"20170909","BHA",3,"BHAvWBA20170909","away",0,0,0.0833333333333333,0.333333333333333,0,392,Inf,Inf,-2,4,"WBA-4","BHA-4",7,0,4,9,14,5,0,0,Inf,1,3,3,11,13,16
"73","STK",2,2,10,5,6,0,0,16,5,256,1,10,0,0,0.4,"20170909","MUN",2,"STKvMUN20170909","home",0,1,0.2,0.4,0,128,Inf,Inf,0,4,"STK-4","MUN-4",5,0,4,12,1,-11,0,1,-11,1,3,0,5,11,7
"74","MUN",2,1,18,8,3,0,0,40,11,523,4,10,0,0,0.6,"20170909","STK",2,"STKvMUN20170909","away",0,1,0.111111111111111,0.25,1,261.5,Inf,Inf,0,4,"MUN-4","STK-4",10,10,12,1,12,11,0,0,11,3,3,3,15,15,20
"75","BUR",1,0,4,2,3,0,0,16,3,163,8,8,1,0,0.38,"20170910","CRY",0,"BURvCRY20170910","home",1,3,0.25,0.5,1,163,8,Inf,1,4,"BUR-4","CRY-4",7,1,5,7,20,13,0,0,4.33333333333333,1,0,3,9,3,14
"76","CRY",0,0,23,5,1,0,0,38,13,369,1,14,1,0,0.62,"20170910","BUR",1,"BURvCRY20170910","away",0,0,0,0,0,Inf,14,Inf,-1,4,"CRY-4","BUR-4",0,-7,0,20,7,-13,0,0,-Inf,0,0,0,13,6,2
"77","SWA",0,0,10,4,7,0,0,33,7,457,1,11,2,0,0.6,"20170910","NEW",1,"SWAvNEW20170910","home",0,0,0,0,0,Inf,5.5,Inf,-1,4,"SWA-4","NEW-4",4,-3,2,15,10,-5,0,0,-Inf,3,0,1,19,1,11
"78","NEW",1,1,16,8,3,0,0,20,5,247,0,15,3,0,0.4,"20170910","SWA",0,"SWAvNEW20170910","away",1,3,0.0625,0.125,0,247,5,Inf,1,4,"NEW-4","SWA-4",6,1,4,10,15,5,0,0,1.66666666666667,3,0,0,20,2,4
"79","WHU",2,1,19,3,2,0,0,36,10,238,0,11,1,0,0.44,"20170911","HUD",0,"WHUvHUD20170911","home",1,3,0.105263157894737,0.666666666666667,1,119,11,Inf,2,4,"WHU-4","HUD-4",3,-6,4,18,6,-12,0,1,-4,0,0,0,14,7,1
"80","HUD",0,0,10,2,1,0,0,19,3,355,1,14,2,0,0.56,"20170911","WHU",2,"WHUvHUD20170911","away",0,0,0,0,0,Inf,7,Inf,-2,4,"HUD-4","WHU-4",7,2,4,6,18,12,0,0,Inf,1,3,3,8,17,19
"81","BOU",2,2,15,3,0,0,0,21,6,575,1,5,0,0,0.63,"20170915","BHA",1,"BOUvBHA20170915","home",1,3,0.133333333333333,0.666666666666667,0,287.5,Inf,Inf,1,5,"BOU-5","BHA-5",3,-6,3,19,16,-3,1,0,-1,0,0,0,11,4,4
"82","BHA",1,1,9,2,1,0,0,16,4,298,1,12,0,0,0.37,"20170915","BOU",2,"BOUvBHA20170915","away",0,0,0.111111111111111,0.5,0,298,Inf,Inf,-1,5,"BHA-5","BOU-5",4,-3,4,16,19,3,1,0,Inf,3,1,0,9,7,9
"83","CRY",0,0,14,3,3,0,0,32,5,327,0,14,5,0,0.46,"20170916","SOU",1,"CRYvSOU20170916","home",0,0,0,0,0,Inf,2.8,Inf,-1,5,"CRY-5","SOU-5",0,-8,0,20,9,-11,0,0,-Inf,0,0,0,7,13,6
"84","SOU",1,0,13,4,3,0,0,26,5,417,1,13,1,0,0.54,"20170916","CRY",0,"CRYvSOU20170916","away",1,3,0.0769230769230769,0.25,1,417,13,Inf,1,5,"SOU-5","CRY-5",8,0,4,9,20,11,0,0,3.66666666666667,0,1,3,4,3,20
"85","LIV",1,1,35,9,2,0,0,47,12,615,1,7,1,0,0.75,"20170916","BUR",1,"LIVvBUR20170916","home",0,1,0.0285714285714286,0.111111111111111,0,615,7,Inf,0,5,"LIV-5","BUR-5",8,0,9,8,7,-1,1,0,-1,0,3,3,2,16,19
"86","BUR",1,0,5,4,8,0,0,8,2,173,5,9,2,0,0.25,"20170916","LIV",1,"LIVvBUR20170916","away",0,1,0.2,0.25,1,173,4.5,Inf,0,5,"BUR-5","LIV-5",8,1,6,7,8,1,1,0,1,3,1,0,20,9,3
"87","NEW",2,2,14,3,3,0,0,19,7,225,2,13,3,0,0.44,"20170916","STK",1,"NEWvSTK20170916","home",1,3,0.142857142857143,0.666666666666667,0,112.5,4.33333333333333,Inf,1,5,"NEW-5","STK-5",9,2,6,4,13,9,0,0,3,3,3,0,15,20,2
"88","STK",1,1,13,4,1,0,0,22,5,346,1,11,1,0,0.56,"20170916","NEW",2,"NEWvSTK20170916","away",0,0,0.0769230769230769,0.25,0,346,11,Inf,-1,5,"STK-5","NEW-5",5,-1,5,13,4,-9,0,1,-Inf,1,1,3,1,5,11
"89","WAT",0,0,6,1,4,0,0,12,3,237,2,8,2,0,0.37,"20170916","MCI",6,"WATvMCI20170916","home",0,0,0,0,0,Inf,4,Inf,-6,5,"WAT-5","MCI-5",8,-2,7,11,1,-10,0,1,-Inf,3,1,3,13,17,16
"90","MCI",6,5,29,10,1,1,1,30,11,602,0,7,0,0,0.63,"20170916","WAT",0,"WATvMCI20170916","away",1,3,0.206896551724138,0.6,1,100.333333333333,Inf,Inf,6,5,"MCI-5","WAT-5",13,14,16,1,11,10,0,0,3.33333333333333,3,3,1,8,18,8
"91","WBA",0,0,6,1,1,0,0,15,2,236,3,15,2,0,0.4,"20170916","WHU",0,"WBAvWHU20170916","home",0,1,0,0,0,Inf,7.5,Inf,0,5,"WBA-5","WHU-5",8,0,4,10,17,7,0,0,7,0,1,3,14,11,13
"92","WHU",0,0,9,1,1,0,0,32,3,451,2,7,2,0,0.6,"20170916","WBA",0,"WBAvWHU20170916","away",0,1,0,0,0,Inf,3.5,Inf,0,5,"WHU-5","WBA-5",4,-6,4,17,10,-7,0,0,-7,3,0,0,6,14,7
