"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"88","SOU",1,0,6,1,1,0,0,24,7,377,1,10,1,0,0.49,"20171029","BHA",1,"BHAvSOU20171029","away",0,1,0.166666666666667,1,1,377,10,Inf,0,5,"SOU-5","BHA-5",8,0,5,7,9,2,1,0,2,3,1,3,19,7,18
"89","LEI",2,2,9,3,2,0,0,17,3,233,4,6,0,0,0.44,"20171029","EVE",0,"LEIvEVE20171029","home",1,3,0.222222222222222,0.666666666666667,0,116.5,Inf,Inf,2,4,"LEI-4","EVE-4",7,2,6,7,20,13,0,0,4.33333333333333,3,1,0,11,15,7
"90","EVE",0,0,16,2,1,0,0,31,10,390,1,10,2,0,0.56,"20171029","LEI",2,"LEIvEVE20171029","away",0,0,0,0,0,Inf,5,Inf,-2,5,"EVE-5","LEI-5",1,-9,3,20,5,-15,0,1,-Inf,0,1,0,2,12,6
"91","BUR",1,1,12,5,5,0,0,28,5,360,4,9,3,0,0.49,"20171030","NEW",0,"BURvNEW20171030","home",1,3,0.0833333333333333,0.2,0,360,3,Inf,1,6,"BUR-6","NEW-6",11,0,5,5,11,6,0,0,2,0,1,3,1,12,19
"92","NEW",0,0,12,5,4,0,0,20,3,422,1,10,0,0,0.51,"20171030","BUR",1,"BURvNEW20171030","away",0,0,0,0,0,Inf,Inf,Inf,-1,5,"NEW-5","BUR-5",8,1,5,6,8,2,1,0,Inf,3,1,1,16,9,17
"93","STK",2,2,11,7,2,0,0,24,4,302,0,12,0,0,0.47,"20171104","LEI",2,"STKvLEI20171104","home",0,1,0.181818181818182,0.285714285714286,0,151,Inf,Inf,0,5,"STK-5","LEI-5",5,-5,8,15,5,-10,0,1,-10,3,0,0,9,14,1
"94","LEI",2,2,14,4,5,0,0,25,10,344,5,8,0,0,0.53,"20171104","STK",2,"STKvLEI20171104","away",0,1,0.142857142857143,0.5,0,172,Inf,Inf,0,5,"LEI-5","STK-5",8,2,8,5,15,10,0,0,10,3,3,1,20,11,15
"95","NEW",0,0,16,4,4,0,0,29,11,273,5,11,2,0,0.46,"20171104","BOU",1,"NEWvBOU20171104","home",0,0,0,0,0,Inf,5.5,Inf,-1,6,"NEW-6","BOU-6",8,0,5,11,7,-4,0,0,-Inf,0,3,1,8,16,9
"96","BOU",1,1,16,6,4,0,0,28,9,312,1,12,2,0,0.54,"20171104","NEW",0,"NEWvBOU20171104","away",1,3,0.0625,0.166666666666667,0,312,6,Inf,1,6,"BOU-6","NEW-6",9,-2,5,7,11,4,0,0,1.33333333333333,0,3,0,4,14,2
"97","SOU",0,0,13,3,0,0,0,30,9,496,2,4,0,0,0.64,"20171104","BUR",1,"SOUvBUR20171104","home",0,0,0,0,0,Inf,Inf,Inf,-1,6,"SOU-6","BUR-6",8,-1,5,12,5,-7,0,1,-Inf,1,3,1,9,19,7
"98","BUR",1,1,5,1,3,0,0,13,1,264,1,4,0,0,0.36,"20171104","SOU",0,"SOUvBUR20171104","away",1,3,0.2,1,0,264,Inf,Inf,1,7,"BUR-7","SOU-7",14,1,6,4,13,9,0,0,3,3,0,1,11,1,12
"99","HUD",1,1,7,3,3,0,0,18,3,356,4,8,1,1,0.52,"20171104","WBA",0,"HUDvWBA20171104","home",1,3,0.142857142857143,0.333333333333333,0,356,8,8,1,5,"HUD-5","WBA-5",6,-5,3,12,19,7,0,0,2.33333333333333,0,3,0,17,16,9
"100","WBA",0,0,9,3,2,0,0,25,5,341,4,15,4,0,0.48,"20171104","HUD",1,"HUDvWBA20171104","away",0,0,0,0,0,Inf,3.75,Inf,-1,5,"WBA-5","HUD-5",1,-5,4,19,12,-7,0,0,-Inf,0,0,1,1,9,14
"101","SWA",0,0,10,2,1,0,0,34,8,381,1,13,2,0,0.57,"20171104","BHA",1,"SWAvBHA20171104","home",0,0,0,0,0,Inf,6.5,Inf,-1,5,"SWA-5","BHA-5",3,-2,4,17,9,-8,0,0,-Inf,0,0,3,2,8,20
"102","BHA",1,1,5,2,2,0,0,22,7,273,2,12,1,0,0.43,"20171104","SWA",0,"SWAvBHA20171104","away",1,3,0.2,0.5,0,273,12,Inf,1,7,"BHA-7","SWA-7",11,3,10,8,19,11,0,0,3.66666666666667,1,3,1,12,14,20
"103","WHU",1,1,6,1,3,0,0,14,2,370,5,9,3,0,0.48,"20171104","LIV",4,"WHUvLIV20171104","home",0,0,0.166666666666667,1,0,370,3,Inf,-3,5,"WHU-5","LIV-5",5,-4,6,14,18,4,0,0,Inf,1,0,1,16,12,6
"104","LIV",4,2,15,7,0,0,0,10,3,402,1,13,0,0,0.52,"20171104","WHU",1,"WHUvLIV20171104","away",1,3,0.266666666666667,0.571428571428571,2,100.5,Inf,Inf,3,7,"LIV-7","WHU-7",9,-2,10,11,15,4,0,0,1.33333333333333,3,0,1,15,3,11
"105","TOT",1,0,12,2,3,0,0,42,10,520,3,6,0,0,0.63,"20171105","CRY",0,"TOTvCRY20171105","home",1,3,0.0833333333333333,0.5,1,520,Inf,Inf,1,5,"TOT-5","CRY-5",12,7,9,3,16,13,0,0,4.33333333333333,0,3,3,11,17,12
"106","CRY",0,0,11,3,1,0,0,18,9,202,4,7,2,0,0.37,"20171105","TOT",1,"TOTvCRY20171105","away",0,0,0,0,0,Inf,3.5,Inf,-1,6,"CRY-6","TOT-6",4,-3,4,17,4,-13,0,1,-Inf,1,0,3,14,5,5
"107","MCI",3,2,9,5,2,1,1,18,5,577,3,15,1,0,0.59,"20171105","ARS",1,"MCIvARS20171105","home",1,3,0.333333333333333,0.6,1,192.333333333333,15,Inf,2,5,"MCI-5","ARS-5",15,16,21,1,2,1,1,1,0.333333333333333,3,3,3,19,3,16
"108","ARS",1,1,6,3,2,0,0,12,5,394,3,15,6,0,0.41,"20171105","MCI",3,"MCIvARS20171105","away",0,0,0.166666666666667,0.333333333333333,0,394,2.5,Inf,-2,6,"ARS-6","MCI-6",12,6,14,3,1,-2,1,1,-Inf,3,3,0,17,20,6
"109","CHE",1,1,18,8,2,0,0,23,4,382,0,16,1,0,0.52,"20171105","MUN",0,"CHEvMUN20171105","home",1,3,0.0555555555555556,0.125,0,382,16,Inf,1,5,"CHE-5","MUN-5",12,4,9,4,13,9,0,0,3,3,3,0,10,6,18
"110","MUN",0,0,10,2,7,0,0,21,7,308,0,20,3,0,0.48,"20171105","CHE",1,"CHEvMUN20171105","away",0,0,0,0,0,Inf,6.66666666666667,Inf,-1,5,"MUN-5","CHE-5",5,-1,4,13,4,-9,0,1,-Inf,3,0,1,3,15,17
"111","EVE",3,1,10,5,1,1,1,15,2,199,5,14,0,0,0.46,"20171105","WAT",2,"EVEvWAT20171105","home",1,3,0.3,0.6,2,66.3333333333333,Inf,Inf,1,6,"EVE-6","WAT-6",4,-8,6,18,6,-12,0,1,-4,0,0,1,5,2,12
"112","WAT",2,2,11,3,2,0,1,33,5,372,1,12,2,0,0.54,"20171105","EVE",3,"EVEvWAT20171105","away",0,0,0.181818181818182,0.666666666666667,0,186,6,Inf,-1,5,"WAT-5","EVE-5",6,-1,8,10,20,10,0,0,Inf,0,0,3,14,5,2
"113","ARS",2,2,14,5,4,0,0,26,7,299,8,11,4,0,0.43,"20171118","TOT",0,"ARSvTOT20171118","home",1,3,0.142857142857143,0.4,0,149.5,2.75,Inf,2,7,"ARS-7","TOT-7",15,8,16,3,5,2,1,1,0.666666666666667,0,3,3,1,17,20
"114","TOT",0,0,14,4,3,0,0,25,4,463,1,16,1,0,0.57,"20171118","ARS",2,"ARSvTOT20171118","away",0,0,0,0,0,Inf,16,Inf,-2,6,"TOT-6","ARS-6",12,5,9,4,3,-1,1,1,-Inf,3,0,3,16,11,17
"115","LEI",0,0,2,0,2,0,0,7,1,194,3,8,1,0,0.31,"20171118","MCI",2,"LEIvMCI20171118","home",0,0,0,NA,0,Inf,8,Inf,-2,6,"LEI-6","MCI-6",8,0,8,10,1,-9,0,1,-Inf,1,3,3,15,20,11
"116","MCI",2,2,12,4,0,0,0,28,7,712,1,10,1,0,0.69,"20171118","LEI",0,"LEIvMCI20171118","away",1,3,0.166666666666667,0.5,0,356,10,Inf,2,6,"MCI-6","LEI-6",18,18,23,1,10,9,0,0,3,3,3,3,2,19,3
"117","LIV",3,2,21,8,0,0,0,24,10,491,2,15,1,0,0.62,"20171118","SOU",0,"LIVvSOU20171118","home",1,3,0.142857142857143,0.375,1,163.666666666667,15,Inf,3,8,"LIV-8","SOU-8",12,1,13,10,12,2,1,0,0.666666666666667,3,3,0,15,15,3
"118","SOU",0,0,5,0,5,0,0,12,2,279,2,9,1,0,0.38,"20171118","LIV",3,"LIVvSOU20171118","away",0,0,0,NA,0,Inf,9,Inf,-3,7,"SOU-7","LIV-7",8,-4,5,13,11,-2,1,0,-Inf,0,1,3,5,9,19
"119","CRY",2,1,16,7,3,0,0,26,9,468,1,9,2,0,0.66,"20171118","EVE",2,"CRYvEVE20171118","home",0,1,0.125,0.285714285714286,1,234,4.5,Inf,0,7,"CRY-7","EVE-7",5,-3,6,17,18,1,1,0,1,0,1,0,4,14,5
"120","EVE",2,1,8,5,5,1,1,11,4,178,1,26,3,0,0.34,"20171118","CRY",2,"CRYvEVE20171118","away",0,1,0.25,0.4,1,89,8.66666666666667,Inf,0,7,"EVE-7","CRY-7",5,-8,8,18,17,-1,1,0,-1,3,0,0,6,5,2
"121","WBA",0,0,7,2,3,0,0,24,3,321,3,13,2,0,0.42,"20171118","CHE",4,"WBAvCHE20171118","home",0,0,0,0,0,Inf,6.5,Inf,-4,6,"WBA-6","CHE-6",1,-9,4,20,2,-18,0,1,-Inf,0,0,0,12,1,9
"122","CHE",4,3,11,7,2,0,0,24,4,539,1,12,3,0,0.58,"20171118","WBA",0,"WBAvCHE20171118","away",1,3,0.363636363636364,0.571428571428571,1,134.75,4,Inf,4,6,"CHE-6","WBA-6",15,8,13,2,20,18,0,0,6,3,3,3,13,10,6
"123","BUR",2,2,16,7,1,0,0,27,8,220,3,12,1,0,0.41,"20171118","SWA",0,"BURvSWA20171118","home",1,3,0.125,0.285714285714286,0,110,12,Inf,2,8,"BUR-8","SWA-8",17,3,8,4,19,15,0,0,5,3,3,0,13,11,1
"124","SWA",0,0,13,1,5,0,0,29,6,407,1,12,1,0,0.59,"20171118","BUR",2,"BURvSWA20171118","away",0,0,0,0,0,Inf,12,Inf,-2,6,"SWA-6","BUR-6",3,-4,4,19,5,-14,0,1,-Inf,0,0,0,9,2,8
"125","BOU",4,3,11,5,3,0,0,12,8,165,1,13,3,1,0.34,"20171118","HUD",0,"BOUvHUD20171118","home",1,3,0.363636363636364,0.8,1,41.25,4.33333333333333,13,4,7,"BOU-7","HUD-7",12,2,9,7,16,9,0,0,3,3,0,3,11,4,14
"126","HUD",0,0,20,3,1,0,0,49,11,467,0,10,2,0,0.66,"20171118","BOU",4,"BOUvHUD20171118","away",0,0,0,0,0,Inf,5,Inf,-4,6,"HUD-6","BOU-6",6,-9,3,15,7,-8,0,0,-Inf,3,0,3,19,17,16
"127","MUN",4,4,16,7,4,0,0,46,11,569,1,10,1,0,0.62,"20171118","NEW",1,"MUNvNEW20171118","home",1,3,0.25,0.571428571428571,0,142.25,10,Inf,3,6,"MUN-6","NEW-6",8,2,8,9,11,2,1,0,0.666666666666667,0,3,0,4,3,15
"128","NEW",1,1,12,5,3,0,0,15,4,274,1,9,1,0,0.38,"20171118","MUN",4,"MUNvNEW20171118","away",0,0,0.0833333333333333,0.2,0,274,9,Inf,-3,7,"NEW-7","MUN-7",8,-3,6,12,9,-3,1,0,-Inf,0,0,3,7,8,16
"129","WAT",2,2,17,7,5,0,0,24,3,521,0,13,1,0,0.57,"20171119","WHU",0,"WATvWHU20171119","home",1,3,0.117647058823529,0.285714285714286,0,260.5,13,Inf,2,6,"WAT-6","WHU-6",9,1,10,6,16,10,0,0,3.33333333333333,0,0,0,20,14,5
"130","WHU",0,0,10,6,5,0,0,16,1,344,3,10,4,0,0.43,"20171119","WAT",2,"WATvWHU20171119","away",0,0,0,0,0,Inf,2.5,Inf,-2,6,"WHU-6","WAT-6",5,-6,6,16,6,-10,0,1,-Inf,0,1,0,18,16,12
"131","BHA",2,1,9,3,4,0,0,29,6,404,3,13,1,0,0.55,"20171120","STK",2,"BHAvSTK20171120","home",0,1,0.222222222222222,0.666666666666667,1,202,13,Inf,0,8,"BHA-8","STK-8",12,3,12,8,15,7,0,0,7,3,1,3,19,12,14
"132","STK",2,1,13,6,1,0,0,25,7,338,1,5,0,0,0.45,"20171120","BHA",2,"BHAvSTK20171120","away",0,1,0.153846153846154,0.333333333333333,1,169,Inf,Inf,0,6,"STK-6","BHA-6",6,-5,10,13,8,-5,0,0,-5,1,3,0,5,9,14
"133","WHU",1,1,8,4,1,0,0,32,5,297,0,9,1,0,0.51,"20171124","LEI",1,"WHUvLEI20171124","home",0,1,0.125,0.25,0,297,9,Inf,0,7,"WHU-7","LEI-7",6,-6,7,15,10,-5,0,0,-5,0,0,1,6,18,16
"134","LEI",1,0,7,2,3,0,0,19,5,324,1,12,1,0,0.49,"20171124","WHU",1,"WHUvLEI20171124","away",0,1,0.142857142857143,0.5,1,324,12,Inf,0,7,"LEI-7","WHU-7",9,0,9,10,15,5,0,0,5,0,1,3,1,15,20
"135","MUN",1,0,15,4,2,0,0,34,5,501,2,9,0,0,0.57,"20171125","BHA",0,"MUNvBHA20171125","home",1,3,0.0666666666666667,0.25,1,501,Inf,Inf,1,7,"MUN-7","BHA-7",11,3,9,9,8,-1,1,0,-0.333333333333333,3,0,3,11,4,3
"136","BHA",0,0,8,2,4,0,0,19,0,346,1,9,2,0,0.43,"20171125","MUN",1,"MUNvBHA20171125","away",0,0,0,0,0,Inf,4.5,Inf,-1,9,"BHA-9","MUN-9",12,2,12,11,4,-7,0,1,-Inf,1,3,1,15,19,12
"137","NEW",0,0,12,2,2,0,0,28,6,396,4,8,1,0,0.55,"20171125","WAT",3,"NEWvWAT20171125","home",0,0,0,0,0,Inf,8,Inf,-3,8,"NEW-8","WAT-8",8,-6,6,14,9,-5,0,0,-Inf,0,0,0,9,7,8
"138","WAT",3,2,12,4,1,0,0,19,3,319,1,13,2,0,0.45,"20171125","NEW",0,"NEWvWAT20171125","away",1,3,0.25,0.75,1,106.333333333333,6.5,Inf,3,7,"WAT-7","NEW-7",12,4,13,6,12,6,0,0,2,3,0,0,16,20,14
"139","TOT",1,1,24,5,1,0,0,41,8,623,2,10,1,0,0.66,"20171125","WBA",1,"TOTvWBA20171125","home",0,1,0.0416666666666667,0.2,0,623,10,Inf,0,7,"TOT-7","WBA-7",13,5,10,5,20,15,0,0,15,0,3,0,3,16,11
"140","WBA",1,1,5,2,4,0,0,11,0,186,6,13,4,0,0.34,"20171125","TOT",1,"TOTvWBA20171125","away",0,1,0.2,0.5,0,186,3.25,Inf,0,7,"WBA-7","TOT-7",2,-9,5,20,5,-15,0,1,-15,0,0,0,2,12,1
"141","CRY",2,1,10,5,2,0,0,25,5,410,2,9,1,0,0.52,"20171125","STK",1,"CRYvSTK20171125","home",1,3,0.2,0.4,1,205,9,Inf,1,8,"CRY-8","STK-8",8,-2,8,13,15,2,1,0,0.666666666666667,1,0,1,18,4,14
"142","STK",1,1,10,3,3,0,0,19,2,365,1,5,1,0,0.48,"20171125","CRY",2,"CRYvSTK20171125","away",0,0,0.1,0.333333333333333,0,365,5,Inf,-1,7,"STK-7","CRY-7",6,-6,11,14,17,3,1,0,Inf,1,1,3,8,5,9
"143","SWA",0,0,10,1,5,0,0,24,4,365,3,18,4,0,0.48,"20171125","BOU",0,"SWAvBOU20171125","home",0,1,0,0,0,Inf,4.5,Inf,0,7,"SWA-7","BOU-7",4,-4,4,19,7,-12,0,0,-12,0,0,0,5,9,2
"144","BOU",0,0,9,5,1,0,0,25,5,415,1,6,2,0,0.52,"20171125","SWA",0,"SWAvBOU20171125","away",0,1,0,0,0,Inf,3,Inf,0,8,"BOU-8","SWA-8",13,2,9,7,19,12,0,0,12,3,3,0,16,11,4
"145","LIV",1,1,16,4,2,0,0,22,7,535,0,10,0,0,0.55,"20171125","CHE",1,"LIVvCHE20171125","home",0,1,0.0625,0.25,0,535,Inf,Inf,0,9,"LIV-9","CHE-9",13,1,14,9,2,-7,0,1,-7,3,3,3,12,15,15
"146","CHE",1,1,11,3,3,0,0,27,8,425,5,7,0,0,0.45,"20171125","LIV",1,"LIVvCHE20171125","away",0,1,0.0909090909090909,0.333333333333333,0,425,Inf,Inf,0,7,"CHE-7","LIV-7",16,8,14,2,11,9,0,0,9,3,3,3,20,13,10
"147","SOU",4,4,17,5,1,0,0,35,7,597,0,6,0,0,0.63,"20171126","EVE",1,"SOUvEVE20171126","home",1,3,0.235294117647059,0.8,0,149.25,Inf,Inf,3,8,"SOU-8","EVE-8",11,-1,9,12,18,6,0,0,2,0,0,1,11,5,9
"148","EVE",1,1,5,2,1,0,0,7,2,245,0,13,0,0,0.37,"20171126","SOU",4,"SOUvEVE20171126","away",0,0,0.2,0.5,0,245,Inf,Inf,-3,8,"EVE-8","SOU-8",5,-11,9,18,12,-6,0,0,-Inf,1,3,0,17,6,5
"149","BUR",0,0,8,2,1,0,0,23,5,272,4,8,2,0,0.36,"20171126","ARS",1,"BURvARS20171126","home",0,0,0,0,0,Inf,4,Inf,-1,9,"BUR-9","ARS-9",17,2,8,5,3,-2,1,1,-Inf,3,3,3,19,13,11
"150","ARS",1,0,17,2,2,1,1,25,5,550,3,14,0,0,0.64,"20171126","BUR",0,"BURvARS20171126","away",1,3,0.0588235294117647,0.5,1,550,Inf,Inf,1,8,"ARS-8","BUR-8",18,9,17,3,4,1,1,1,0.333333333333333,3,0,3,5,1,17
"151","HUD",1,0,4,0,3,0,0,11,3,104,3,10,2,1,0.22,"20171126","MCI",2,"HUDvMCI20171126","home",0,0,0.25,Inf,1,104,5,10,-1,7,"HUD-7","MCI-7",6,-10,4,16,1,-15,0,1,-Inf,0,3,0,7,19,17
"152","MCI",2,0,14,5,0,1,1,23,7,662,3,10,3,0,0.78,"20171126","HUD",1,"HUDvMCI20171126","away",1,3,0.142857142857143,0.4,2,331,3.33333333333333,Inf,1,7,"MCI-7","HUD-7",21,19,25,1,16,15,0,0,5,3,3,3,10,2,19
"153","LEI",2,2,7,4,5,0,0,16,4,262,2,7,1,0,0.4,"20171128","TOT",1,"LEIvTOT20171128","home",1,3,0.285714285714286,0.5,0,131,7,Inf,1,8,"LEI-8","TOT-8",12,1,11,11,6,-5,0,1,-1.66666666666667,1,0,1,15,1,15
"154","TOT",1,1,18,6,1,0,0,35,9,490,1,10,2,0,0.6,"20171128","LEI",2,"LEIvTOT20171128","away",0,0,0.0555555555555556,0.166666666666667,0,490,5,Inf,-1,8,"TOT-8","LEI-8",13,4,11,6,11,5,0,0,Inf,1,0,3,20,3,16
"155","BHA",0,0,9,4,4,0,0,29,10,368,5,13,2,0,0.54,"20171128","CRY",0,"BHAvCRY20171128","home",0,1,0,0,0,Inf,6.5,Inf,0,10,"BHA-10","CRY-10",13,2,12,10,14,4,0,0,4,0,1,3,4,15,19
"156","CRY",0,0,11,4,3,0,0,19,5,300,0,8,0,0,0.46,"20171128","BHA",0,"BHAvCRY20171128","away",0,1,0,0,0,Inf,Inf,Inf,0,9,"CRY-9","BHA-9",9,-2,8,13,11,-2,1,0,-2,3,1,0,15,18,4
"157","WAT",2,1,13,4,2,1,1,30,5,440,0,12,2,0,0.55,"20171128","MUN",4,"WATvMUN20171128","home",0,0,0.153846153846154,0.5,1,220,6,Inf,-2,8,"WAT-8","MUN-8",12,2,15,9,5,-4,0,1,-Inf,3,3,0,12,16,20
"158","MUN",4,3,16,7,2,0,0,12,5,281,0,11,1,0,0.45,"20171128","WAT",2,"WATvMUN20171128","away",1,3,0.25,0.571428571428571,1,70.25,11,Inf,2,8,"MUN-8","WAT-8",14,5,13,5,9,4,0,0,1.33333333333333,3,3,0,8,11,4
"159","WBA",2,2,8,4,3,0,0,24,1,328,0,13,0,0,0.5,"20171128","NEW",2,"WBAvNEW20171128","home",0,1,0.25,0.5,0,164,Inf,Inf,0,8,"WBA-8","NEW-8",3,-9,7,20,14,-6,0,0,-6,1,0,0,5,2,12
"160","NEW",2,2,12,4,2,0,0,30,6,381,2,12,0,0,0.5,"20171128","WBA",2,"WBAvNEW20171128","away",0,1,0.166666666666667,0.5,0,190.5,Inf,Inf,0,9,"NEW-9","WBA-9",9,-6,8,14,20,6,0,0,6,0,0,0,9,9,7
"161","ARS",5,5,21,7,2,0,0,18,7,734,2,10,0,0,0.66,"20171129","HUD",0,"ARSvHUD20171129","home",1,3,0.238095238095238,0.714285714285714,0,146.8,Inf,Inf,5,9,"ARS-9","HUD-9",21,14,22,3,18,15,0,0,5,3,3,0,4,5,1
"162","HUD",0,0,7,2,1,0,0,12,2,270,3,12,1,0,0.34,"20171129","ARS",5,"ARSvHUD20171129","away",0,0,0,0,0,Inf,12,Inf,-5,8,"HUD-8","ARS-8",6,-15,4,17,3,-14,0,1,-Inf,0,0,3,1,7,19
"163","CHE",1,0,21,10,0,0,0,44,15,541,0,10,1,0,0.58,"20171129","SWA",0,"CHEvSWA20171129","home",1,3,0.0476190476190476,0.1,1,541,10,Inf,1,8,"CHE-8","SWA-8",19,9,15,2,19,17,0,0,5.66666666666667,1,3,3,11,20,13
"164","SWA",0,0,2,0,9,0,0,13,1,331,0,7,0,0,0.42,"20171129","CHE",1,"CHEvSWA20171129","away",0,0,0,NA,0,Inf,Inf,Inf,-1,8,"SWA-8","CHE-8",4,-5,4,19,2,-17,0,1,-Inf,1,0,0,7,5,9
"165","BOU",1,0,10,2,2,0,0,31,4,480,0,9,0,0,0.64,"20171129","BUR",2,"BOUvBUR20171129","home",0,0,0.1,0.5,1,480,Inf,Inf,-1,9,"BOU-9","BUR-9",13,1,10,10,5,-5,0,1,-Inf,1,3,3,19,16,11
"166","BUR",2,1,10,4,1,0,0,21,6,265,1,11,1,0,0.36,"20171129","BOU",1,"BOUvBUR20171129","away",1,3,0.2,0.5,1,132.5,11,Inf,1,10,"BUR-10","BOU-10",20,3,10,4,9,5,0,0,1.66666666666667,0,3,3,3,19,13
"167","EVE",4,2,8,5,3,0,1,17,2,339,2,16,2,0,0.47,"20171129","WHU",0,"EVEvWHU20171129","home",1,3,0.5,0.8,2,84.75,8,Inf,4,9,"EVE-9","WHU-9",8,-7,13,16,17,1,1,0,0.333333333333333,0,1,3,12,17,6
"168","WHU",0,0,7,3,1,0,1,36,6,425,1,6,1,0,0.53,"20171129","EVE",4,"EVEvWHU20171129","away",0,0,0,0,0,Inf,6,Inf,-4,8,"WHU-8","EVE-8",6,-10,7,16,18,2,1,0,Inf,1,0,0,10,6,18
"169","MCI",2,1,26,12,1,0,0,25,6,689,1,12,1,0,0.74,"20171129","SOU",1,"MCIvSOU20171129","home",1,3,0.0769230769230769,0.166666666666667,1,344.5,12,Inf,1,8,"MCI-8","SOU-8",24,20,27,1,12,11,0,0,3.66666666666667,3,3,3,16,10,2
"170","SOU",1,1,6,2,10,0,0,10,5,171,1,11,1,0,0.26,"20171129","MCI",2,"MCIvSOU20171129","away",0,0,0.166666666666667,0.5,0,171,11,Inf,-1,9,"SOU-9","MCI-9",11,-2,10,12,1,-11,0,1,-Inf,3,0,0,18,11,5
"171","STK",0,0,10,1,4,0,0,22,5,273,4,8,1,0,0.42,"20171129","LIV",3,"STKvLIV20171129","home",0,0,0,0,0,Inf,8,Inf,-3,8,"STK-8","LIV-8",6,-9,11,15,10,-5,0,0,-Inf,0,1,1,17,8,5
"172","LIV",3,2,14,7,1,0,0,21,9,463,2,10,5,0,0.58,"20171129","STK",0,"STKvLIV20171129","away",1,3,0.214285714285714,0.428571428571429,1,154.333333333333,2,Inf,3,10,"LIV-10","STK-10",16,4,17,8,17,9,0,0,3,1,3,3,2,12,15
"173","CHE",3,1,23,9,1,1,1,34,11,685,2,8,0,0,0.65,"20171202","NEW",1,"CHEvNEW20171202","home",1,3,0.130434782608696,0.333333333333333,2,228.333333333333,Inf,Inf,2,9,"CHE-9","NEW-9",22,11,18,2,14,12,0,0,4,3,1,3,19,11,20
"174","NEW",1,0,8,2,6,0,0,12,4,333,1,13,1,0,0.35,"20171202","CHE",3,"CHEvNEW20171202","away",0,0,0.125,0.5,1,333,13,Inf,-2,10,"NEW-10","CHE-10",9,-8,9,15,2,-13,0,1,-Inf,1,0,0,20,9,9
"175","EVE",2,2,6,4,3,0,0,9,2,284,1,12,2,0,0.46,"20171202","HUD",0,"EVEvHUD20171202","home",1,3,0.333333333333333,0.5,0,142,6,Inf,2,10,"EVE-10","HUD-10",11,-5,15,13,18,5,0,0,1.66666666666667,3,0,1,17,12,17
"176","HUD",0,0,5,3,2,0,0,27,5,309,0,9,1,0,0.54,"20171202","EVE",2,"EVEvHUD20171202","away",0,0,0,0,0,Inf,9,Inf,-2,9,"HUD-9","EVE-9",6,-17,4,18,16,-2,1,0,-Inf,0,0,0,3,1,7
"177","LEI",1,0,16,3,4,0,0,30,10,327,1,3,0,0,0.52,"20171202","BUR",0,"LEIvBUR20171202","home",1,3,0.0625,0.333333333333333,1,327,Inf,Inf,1,9,"LEI-9","BUR-9",15,2,12,6,5,-1,1,1,-0.333333333333333,3,1,0,6,15,1
"178","BUR",0,0,14,4,2,0,0,28,7,317,6,11,2,0,0.48,"20171202","LEI",1,"LEIvBUR20171202","away",0,0,0,0,0,Inf,5.5,Inf,-1,11,"BUR-11","LEI-11",20,2,10,7,4,-3,1,1,-Inf,3,0,3,9,3,19
"179","WAT",1,1,6,2,1,0,0,34,7,330,1,16,4,0,0.48,"20171202","TOT",1,"WATvTOT20171202","home",0,1,0.166666666666667,0.5,0,330,4,Inf,0,9,"WAT-9","TOT-9",13,2,16,8,7,-1,1,0,-1,0,3,3,5,12,16
"180","TOT",1,1,8,2,1,0,0,21,2,351,10,8,1,1,0.52,"20171202","WAT",1,"WATvTOT20171202","away",0,1,0.125,0.5,0,351,8,8,0,9,"TOT-9","WAT-9",14,4,12,7,8,1,1,0,1,0,1,0,11,20,3
"181","WBA",0,0,20,6,2,0,0,40,3,305,3,11,3,0,0.52,"20171202","CRY",0,"WBAvCRY20171202","home",0,1,0,0,0,Inf,3.66666666666667,Inf,0,9,"WBA-9","CRY-9",4,-9,7,20,13,-7,0,0,-7,1,1,0,14,5,2
"182","CRY",0,0,10,2,6,0,0,26,7,283,1,10,1,0,0.48,"20171202","WBA",0,"WBAvCRY20171202","away",0,1,0,0,0,Inf,10,Inf,0,10,"CRY-10","WBA-10",10,-2,8,14,20,6,0,0,6,1,3,1,11,15,18
"183","STK",2,2,10,3,2,0,0,17,2,313,3,12,2,0,0.45,"20171202","SWA",1,"STKvSWA20171202","home",1,3,0.2,0.666666666666667,0,156.5,6,Inf,1,9,"STK-9","SWA-9",9,-8,13,15,19,4,0,0,1.33333333333333,0,0,1,10,17,8
"184","SWA",1,1,10,3,1,0,0,30,6,390,0,10,0,0,0.55,"20171202","STK",2,"STKvSWA20171202","away",0,0,0.1,0.333333333333333,0,390,Inf,Inf,-1,9,"SWA-9","STK-9",4,-6,5,19,15,-4,0,0,-Inf,0,1,0,2,7,5
