"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"20","HUD",0,0,10,2,1,0,0,19,3,355,1,14,2,0,0.56,"20170911","WHU",2,"WHUvHUD20170911","away",0,0,0,0,0,Inf,7,Inf,-2,1,"HUD-1","WHU-1",0,-2,0,17,6,-11,0,1,-Inf,NA,NA,NA,NA,NA,NA
"21","BOU",2,2,15,3,0,0,0,21,6,575,1,5,0,0,0.63,"20170915","BHA",1,"BOUvBHA20170915","home",1,3,0.133333333333333,0.666666666666667,0,287.5,Inf,Inf,1,2,"BOU-2","BHA-2",3,-2,2,12,8,-4,0,0,-1.33333333333333,0,NA,NA,2,NA,NA
"22","BHA",1,1,9,2,1,0,0,16,4,298,1,12,0,0,0.37,"20170915","BOU",2,"BOUvBHA20170915","away",0,0,0.111111111111111,0.5,0,298,Inf,Inf,-1,2,"BHA-2","BOU-2",3,1,4,8,12,4,0,0,Inf,3,NA,NA,15,NA,NA
"23","CRY",0,0,14,3,3,0,0,32,5,327,0,14,5,0,0.46,"20170916","SOU",1,"CRYvSOU20170916","home",0,0,0,0,0,Inf,2.8,Inf,-1,2,"CRY-2","SOU-2",0,-2,0,18,11,-7,0,0,-Inf,0,NA,NA,8,NA,NA
"24","SOU",1,0,13,4,3,0,0,26,5,417,1,13,1,0,0.54,"20170916","CRY",0,"CRYvSOU20170916","away",1,3,0.0769230769230769,0.25,1,417,13,Inf,1,2,"SOU-2","CRY-2",3,-1,1,11,18,7,0,0,2.33333333333333,0,NA,NA,5,NA,NA
"25","LIV",1,1,35,9,2,0,0,47,12,615,1,7,1,0,0.75,"20170916","BUR",1,"LIVvBUR20170916","home",0,1,0.0285714285714286,0.111111111111111,0,615,7,Inf,0,2,"LIV-2","BUR-2",1,-5,1,17,6,-11,0,1,-11,0,NA,NA,1,NA,NA
"26","BUR",1,0,5,4,8,0,0,8,2,173,5,9,2,0,0.25,"20170916","LIV",1,"LIVvBUR20170916","away",0,1,0.2,0.25,1,173,4.5,Inf,0,2,"BUR-2","LIV-2",4,1,2,6,17,11,0,0,11,3,NA,NA,13,NA,NA
"27","ARS",2,1,25,11,1,0,0,19,6,631,2,7,0,0,0.61,"20171001","BHA",0,"ARSvBHA20171001","home",1,3,0.08,0.181818181818182,1,315.5,Inf,Inf,2,2,"ARS-2","BHA-2",6,5,5,2,8,6,0,0,2,3,NA,NA,18,NA,NA
"28","BHA",0,0,9,1,6,0,0,22,5,290,3,8,2,0,0.39,"20171001","ARS",2,"ARSvBHA20171001","away",0,0,0,0,0,Inf,4,Inf,-2,3,"BHA-3","ARS-3",3,-1,4,12,4,-8,0,1,-Inf,0,3,NA,12,15,NA
"29","EVE",0,0,23,4,1,0,0,42,9,412,1,14,2,0,0.58,"20171001","BUR",1,"EVEvBUR20171001","home",0,0,0,0,0,Inf,7,Inf,-1,2,"EVE-2","BUR-2",0,-4,0,19,6,-13,0,1,-Inf,0,NA,NA,3,NA,NA
"30","BUR",1,1,5,2,4,0,0,20,3,194,1,7,2,0,0.42,"20171001","EVE",0,"EVEvBUR20171001","away",1,3,0.2,0.5,0,194,3.5,Inf,1,3,"BUR-3","EVE-3",7,2,3,3,19,16,0,0,5.33333333333333,1,3,NA,17,13,NA
"31","NEW",1,0,8,5,1,0,0,10,1,210,1,11,1,0,0.35,"20171001","LIV",1,"NEWvLIV20171001","home",0,1,0.125,0.2,1,210,11,Inf,0,2,"NEW-2","LIV-2",4,1,2,7,17,10,0,0,10,3,NA,NA,14,NA,NA
"32","LIV",1,0,17,2,4,0,0,30,5,553,2,6,1,0,0.65,"20171001","NEW",1,"NEWvLIV20171001","away",0,1,0.0588235294117647,0.5,1,553,6,Inf,0,3,"LIV-3","NEW-3",2,-5,2,17,7,-10,0,0,-10,1,0,NA,6,1,NA
"33","LIV",0,0,19,5,1,0,0,34,7,540,3,7,0,0,0.59,"20171014","MUN",0,"LIVvMUN20171014","home",0,1,0,0,0,Inf,Inf,Inf,0,4,"LIV-4","MUN-4",3,-5,2,17,11,-6,0,0,-6,1,1,0,7,6,1
"34","MUN",0,0,6,1,5,0,0,15,3,282,1,13,2,0,0.41,"20171014","LIV",0,"LIVvMUN20171014","away",0,1,0,0,0,Inf,6.5,Inf,0,2,"MUN-2","LIV-2",2,0,2,13,17,4,0,0,4,1,NA,NA,10,NA,NA
"35","MCI",7,7,20,11,0,0,0,32,5,834,2,5,0,0,0.72,"20171014","STK",2,"MCIvSTK20171014","home",1,3,0.35,0.636363636363636,0,119.142857142857,Inf,Inf,5,2,"MCI-2","STK-2",6,10,12,1,16,15,0,0,5,3,NA,NA,20,NA,NA
"36","STK",2,1,5,1,4,0,0,2,0,166,1,8,1,0,0.28,"20171014","MCI",7,"MCIvSTK20171014","away",0,0,0.4,2,1,83,8,Inf,-5,2,"STK-2","MCI-2",1,-5,4,16,1,-15,0,1,-Inf,1,NA,NA,11,NA,NA
"37","TOT",1,0,18,6,1,0,0,40,9,644,3,9,1,0,0.69,"20171014","BOU",0,"TOTvBOU20171014","home",1,3,0.0555555555555556,0.166666666666667,1,644,9,Inf,1,2,"TOT-2","BOU-2",6,4,4,3,12,9,0,0,3,3,NA,NA,19,NA,NA
"38","BOU",0,0,5,1,5,0,0,14,5,186,1,7,3,0,0.31,"20171014","TOT",1,"TOTvBOU20171014","away",0,0,0,0,0,Inf,2.33333333333333,Inf,-1,3,"BOU-3","TOT-3",3,-3,2,14,2,-12,0,1,-Inf,3,0,NA,8,2,NA
"39","CRY",2,2,14,5,4,0,0,16,5,349,1,7,2,0,0.47,"20171014","CHE",1,"CRYvCHE20171014","home",1,3,0.142857142857143,0.4,0,174.5,3.5,Inf,1,3,"CRY-3","CHE-3",3,-1,2,13,5,-8,0,1,-2.66666666666667,0,0,NA,11,8,NA
"40","CHE",1,1,15,5,4,0,0,24,8,480,6,6,1,0,0.53,"20171014","CRY",2,"CRYvCHE20171014","away",0,0,0.0666666666666667,0.2,0,480,6,Inf,-1,2,"CHE-2","CRY-2",3,0,3,10,18,8,0,0,Inf,3,NA,NA,12,NA,NA
"41","BUR",1,1,20,5,5,0,0,37,7,400,2,11,2,0,0.55,"20171014","WHU",1,"BURvWHU20171014","home",0,1,0.05,0.2,0,400,5.5,Inf,0,4,"BUR-4","WHU-4",8,2,4,6,12,6,0,0,6,3,1,3,19,17,13
"42","WHU",1,1,8,6,4,0,0,9,4,206,1,14,2,1,0.45,"20171014","BUR",1,"BURvWHU20171014","away",0,1,0.125,0.166666666666667,0,206,7,14,0,2,"WHU-2","BUR-2",4,2,3,5,6,1,1,1,1,3,NA,NA,17,NA,NA
"43","SWA",2,2,7,3,2,0,0,20,5,298,1,12,1,0,0.41,"20171014","HUD",0,"SWAvHUD20171014","home",1,3,0.285714285714286,0.666666666666667,0,149,12,Inf,2,2,"SWA-2","HUD-2",3,1,2,9,20,11,0,0,3.66666666666667,0,NA,NA,9,NA,NA
"44","HUD",0,0,7,2,1,0,0,23,3,463,0,16,5,0,0.59,"20171014","SWA",2,"SWAvHUD20171014","away",0,0,0,0,0,Inf,3.2,Inf,-2,2,"HUD-2","SWA-2",0,-4,0,20,9,-11,0,0,-Inf,0,NA,NA,6,NA,NA
