"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","points_earned","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card"
"X316","CHE",2,1,9,2,6,0,0,16,3,203,0,21,3,0,0.38,"20170820","TOT",1,"TOTvCHE20170820","away",1,3,0.222222222222222,1,1,101.5,7,Inf
"X117","MCI",1,0,19,6,1,0,0,29,7,465,0,7,1,1,0.61,"20170821","EVE",1,"MCIvEVE20170821","home",0,1,0.0526315789473684,0.166666666666667,1,465,7,7
"X317","EVE",1,1,7,2,5,0,0,10,1,213,3,9,2,1,0.39,"20170821","MCI",1,"MCIvEVE20170821","away",0,1,0.142857142857143,0.5,0,213,4.5,9
"X118","BOU",1,0,9,3,6,0,0,13,2,170,0,13,5,0,0.35,"20170826","MCI",2,"BOUvMCI20170826","home",0,0,0.111111111111111,0.333333333333333,1,170,2.6,Inf
"X318","MCI",2,2,19,8,2,0,0,35,5,559,3,14,4,1,0.65,"20170826","BOU",1,"BOUvMCI20170826","away",1,3,0.105263157894737,0.25,0,279.5,3.5,14
"X119","CRY",0,0,16,3,1,0,0,26,1,434,0,9,4,0,0.5,"20170826","SWA",2,"CRYvSWA20170826","home",0,0,0,0,0,Inf,2.25,Inf
"X319","SWA",2,2,7,3,3,0,0,5,1,381,3,6,1,0,0.5,"20170826","CRY",0,"CRYvSWA20170826","away",1,3,0.285714285714286,0.666666666666667,0,190.5,6,Inf
"X120","HUD",0,0,16,6,2,0,0,36,5,301,0,10,0,0,0.48,"20170826","SOU",0,"HUDvSOU20170826","home",0,1,0,0,0,Inf,Inf,Inf
"X320","SOU",0,0,6,3,6,0,0,10,4,404,3,10,1,0,0.52,"20170826","HUD",0,"HUDvSOU20170826","away",0,1,0,0,0,Inf,10,Inf
"X121","MUN",2,2,22,7,4,0,1,46,9,596,2,8,1,0,0.65,"20170826","LEI",0,"MUNvLEI20170826","home",1,3,0.0909090909090909,0.285714285714286,0,298,8,Inf
"X321","LEI",0,0,11,4,5,0,0,14,3,206,3,7,2,0,0.35,"20170826","MUN",2,"MUNvLEI20170826","away",0,0,0,0,0,Inf,3.5,Inf
"X122","NEW",3,3,16,8,3,0,0,26,7,176,0,17,1,0,0.39,"20170826","WHU",0,"NEWvWHU20170826","home",1,3,0.1875,0.375,0,58.6666666666667,17,Inf
"X322","WHU",0,0,8,3,5,0,0,15,5,384,2,11,3,0,0.61,"20170826","NEW",3,"NEWvWHU20170826","away",0,0,0,0,0,Inf,3.66666666666667,Inf
"X123","WAT",0,0,8,0,2,0,0,17,3,253,0,7,0,1,0.43,"20170826","BHA",0,"WATvBHA20170826","home",0,1,0,NA,0,Inf,Inf,7
"X323","BHA",0,0,16,2,0,0,0,36,11,384,5,18,1,0,0.57,"20170826","WAT",0,"WATvBHA20170826","away",0,1,0,0,0,Inf,18,Inf
"X124","LIV",4,3,18,10,0,0,0,20,4,438,3,6,2,0,0.51,"20170827","ARS",0,"LIVvARS20170827","home",1,3,0.222222222222222,0.4,1,109.5,3,Inf
"X324","ARS",0,0,8,0,6,0,0,9,3,448,5,9,4,0,0.49,"20170827","LIV",4,"LIVvARS20170827","away",0,0,0,NA,0,Inf,2.25,Inf
"X125","TOT",1,0,28,5,2,0,0,33,10,514,1,9,0,0,0.66,"20170827","BUR",1,"TOTvBUR20170827","home",0,1,0.0357142857142857,0.2,1,514,Inf,Inf
"X325","BUR",1,1,13,3,4,0,0,21,7,210,6,9,0,0,0.34,"20170827","TOT",1,"TOTvBUR20170827","away",0,1,0.0769230769230769,0.333333333333333,0,210,Inf,Inf
"X126","WBA",1,1,10,2,1,0,0,37,10,267,2,10,2,0,0.43,"20170827","STK",1,"WBAvSTK20170827","home",0,1,0.1,0.5,0,267,5,Inf
"X326","STK",1,0,16,2,1,0,0,26,4,403,0,9,2,0,0.57,"20170827","WBA",1,"WBAvSTK20170827","away",0,1,0.0625,0.5,1,403,4.5,Inf
"X127","ARS",3,3,17,9,2,0,0,21,10,492,4,14,0,0,0.52,"20170909","BOU",0,"ARSvBOU20170909","home",1,3,0.176470588235294,0.333333333333333,0,164,Inf,Inf
"X327","BOU",0,0,7,2,6,0,0,25,3,315,0,10,1,0,0.48,"20170909","ARS",3,"ARSvBOU20170909","away",0,0,0,0,0,Inf,10,Inf
"X128","BHA",3,3,12,6,2,0,0,16,2,376,1,9,2,0,0.47,"20170909","WBA",1,"BHAvWBA20170909","home",1,3,0.25,0.5,0,125.333333333333,4.5,Inf
"X328","WBA",1,1,12,3,3,0,0,33,6,392,1,4,0,0,0.53,"20170909","BHA",3,"BHAvWBA20170909","away",0,0,0.0833333333333333,0.333333333333333,0,392,Inf,Inf
"X129","EVE",0,0,12,1,3,0,0,30,7,385,4,14,3,0,0.49,"20170909","TOT",3,"EVEvTOT20170909","home",0,0,0,0,0,Inf,4.66666666666667,Inf
"X329","TOT",3,2,15,6,1,0,0,27,3,407,3,14,1,0,0.51,"20170909","EVE",0,"EVEvTOT20170909","away",1,3,0.2,0.5,1,135.666666666667,14,Inf
"X130","LEI",1,0,8,2,4,1,1,26,2,286,1,11,1,0,0.42,"20170909","CHE",2,"LEIvCHE20170909","home",0,0,0.125,0.5,1,286,11,Inf
"X330","CHE",2,2,16,6,1,0,0,26,9,466,3,8,0,0,0.58,"20170909","LEI",1,"LEIvCHE20170909","away",1,3,0.125,0.333333333333333,0,233,Inf,Inf
"X131","MCI",5,5,13,10,3,0,0,28,8,685,5,10,2,0,0.62,"20170909","LIV",0,"MCIvLIV20170909","home",1,3,0.384615384615385,0.5,0,137,5,Inf
"X331","LIV",0,0,7,3,5,0,0,11,3,317,2,9,2,1,0.38,"20170909","MCI",5,"MCIvLIV20170909","away",0,0,0,0,0,Inf,4.5,9
"X132","SOU",0,0,9,1,1,0,0,27,7,329,2,8,0,0,0.52,"20170909","WAT",2,"SOUvWAT20170909","home",0,0,0,0,0,Inf,Inf,Inf
"X332","WAT",2,2,12,3,1,0,0,18,4,287,1,11,0,0,0.48,"20170909","SOU",0,"SOUvWAT20170909","away",1,3,0.166666666666667,0.666666666666667,0,143.5,Inf,Inf
"X133","STK",2,2,10,5,6,0,0,16,5,256,1,10,0,0,0.4,"20170909","MUN",2,"STKvMUN20170909","home",0,1,0.2,0.4,0,128,Inf,Inf
"X333","MUN",2,1,18,8,3,0,0,40,11,523,4,10,0,0,0.6,"20170909","STK",2,"STKvMUN20170909","away",0,1,0.111111111111111,0.25,1,261.5,Inf,Inf
"X134","BUR",1,0,4,2,3,0,0,16,3,163,8,8,1,0,0.38,"20170910","CRY",0,"BURvCRY20170910","home",1,3,0.25,0.5,1,163,8,Inf
"X334","CRY",0,0,23,5,1,0,0,38,13,369,1,14,1,0,0.62,"20170910","BUR",1,"BURvCRY20170910","away",0,0,0,0,0,Inf,14,Inf
"X135","SWA",0,0,10,4,7,0,0,33,7,457,1,11,2,0,0.6,"20170910","NEW",1,"SWAvNEW20170910","home",0,0,0,0,0,Inf,5.5,Inf
"X335","NEW",1,1,16,8,3,0,0,20,5,247,0,15,3,0,0.4,"20170910","SWA",0,"SWAvNEW20170910","away",1,3,0.0625,0.125,0,247,5,Inf
"X136","WHU",2,1,19,3,2,0,0,36,10,238,0,11,1,0,0.44,"20170911","HUD",0,"WHUvHUD20170911","home",1,3,0.105263157894737,0.666666666666667,1,119,11,Inf
"X336","HUD",0,0,10,2,1,0,0,19,3,355,1,14,2,0,0.56,"20170911","WHU",2,"WHUvHUD20170911","away",0,0,0,0,0,Inf,7,Inf
"X137","BOU",2,2,15,3,0,0,0,21,6,575,1,5,0,0,0.63,"20170915","BHA",1,"BOUvBHA20170915","home",1,3,0.133333333333333,0.666666666666667,0,287.5,Inf,Inf
"X337","BHA",1,1,9,2,1,0,0,16,4,298,1,12,0,0,0.37,"20170915","BOU",2,"BOUvBHA20170915","away",0,0,0.111111111111111,0.5,0,298,Inf,Inf
"X138","CRY",0,0,14,3,3,0,0,32,5,327,0,14,5,0,0.46,"20170916","SOU",1,"CRYvSOU20170916","home",0,0,0,0,0,Inf,2.8,Inf
"X338","SOU",1,0,13,4,3,0,0,26,5,417,1,13,1,0,0.54,"20170916","CRY",0,"CRYvSOU20170916","away",1,3,0.0769230769230769,0.25,1,417,13,Inf
"X139","HUD",1,1,15,3,0,0,0,43,8,415,3,6,1,0,0.57,"20170916","LEI",1,"HUDvLEI20170916","home",0,1,0.0666666666666667,0.333333333333333,0,415,6,Inf
"X339","LEI",1,0,10,1,2,1,1,14,4,263,1,6,1,0,0.43,"20170916","HUD",1,"HUDvLEI20170916","away",0,1,0.1,1,1,263,6,Inf
"X140","LIV",1,1,35,9,2,0,0,47,12,615,1,7,1,0,0.75,"20170916","BUR",1,"LIVvBUR20170916","home",0,1,0.0285714285714286,0.111111111111111,0,615,7,Inf
"X340","BUR",1,0,5,4,8,0,0,8,2,173,5,9,2,0,0.25,"20170916","LIV",1,"LIVvBUR20170916","away",0,1,0.2,0.25,1,173,4.5,Inf
"X141","NEW",2,2,14,3,3,0,0,19,7,225,2,13,3,0,0.44,"20170916","STK",1,"NEWvSTK20170916","home",1,3,0.142857142857143,0.666666666666667,0,112.5,4.33333333333333,Inf
"X341","STK",1,1,13,4,1,0,0,22,5,346,1,11,1,0,0.56,"20170916","NEW",2,"NEWvSTK20170916","away",0,0,0.0769230769230769,0.25,0,346,11,Inf
"X142","TOT",0,0,26,8,0,0,0,53,11,686,0,11,1,0,0.67,"20170916","SWA",0,"TOTvSWA20170916","home",0,1,0,0,0,Inf,11,Inf
"X342","SWA",0,0,4,0,8,0,0,10,1,165,0,9,3,0,0.33,"20170916","TOT",0,"TOTvSWA20170916","away",0,1,0,NA,0,Inf,3,Inf
"X143","WAT",0,0,6,1,4,0,0,12,3,237,2,8,2,0,0.37,"20170916","MCI",6,"WATvMCI20170916","home",0,0,0,0,0,Inf,4,Inf
"X343","MCI",6,5,29,10,1,1,1,30,11,602,0,7,0,0,0.63,"20170916","WAT",0,"WATvMCI20170916","away",1,3,0.206896551724138,0.6,1,100.333333333333,Inf,Inf
"X144","WBA",0,0,6,1,1,0,0,15,2,236,3,15,2,0,0.4,"20170916","WHU",0,"WBAvWHU20170916","home",0,1,0,0,0,Inf,7.5,Inf
"X344","WHU",0,0,9,1,1,0,0,32,3,451,2,7,2,0,0.6,"20170916","WBA",0,"WBAvWHU20170916","away",0,1,0,0,0,Inf,3.5,Inf
"X145","CHE",0,0,13,4,2,0,0,19,5,426,4,11,2,1,0.54,"20170917","ARS",0,"CHEvARS20170917","home",0,1,0,0,0,Inf,5.5,11
"X345","ARS",0,0,11,2,4,0,0,11,1,426,2,15,3,0,0.46,"20170917","CHE",0,"CHEvARS20170917","away",0,1,0,0,0,Inf,5,Inf
"X146","MUN",4,3,16,7,3,1,1,30,4,422,2,15,1,0,0.5,"20170917","EVE",0,"MUNvEVE20170917","home",1,3,0.25,0.571428571428571,1,105.5,15,Inf
"X346","EVE",0,0,7,3,3,0,0,13,1,440,3,14,1,0,0.5,"20170917","MUN",4,"MUNvEVE20170917","away",0,0,0,0,0,Inf,14,Inf
"X147","BUR",0,0,5,3,2,0,0,14,3,358,5,9,3,0,0.5,"20170923","HUD",0,"BURvHUD20170923","home",0,1,0,0,0,Inf,3,Inf
"X347","HUD",0,0,9,2,3,0,0,18,4,350,4,13,2,0,0.5,"20170923","BUR",0,"BURvHUD20170923","away",0,1,0,0,0,Inf,6.5,Inf
"X148","EVE",2,1,12,4,3,0,0,27,4,372,3,12,3,0,0.48,"20170923","BOU",1,"EVEvBOU20170923","home",1,3,0.166666666666667,0.5,1,186,4,Inf
"X348","BOU",1,1,8,4,1,0,0,23,6,354,1,11,1,0,0.52,"20170923","EVE",2,"EVEvBOU20170923","away",0,0,0.125,0.25,0,354,11,Inf
