"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","points_earned","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card"
"X373","ARS",1,1,9,6,1,0,0,18,5,460,0,10,0,0,0.49,"20171014","WAT",2,"WATvARS20171014","away",0,0,0.111111111111111,0.166666666666667,0,460,Inf,Inf
"X174","BHA",1,1,12,3,5,0,0,30,7,298,5,12,4,0,0.49,"20171015","EVE",1,"BHAvEVE20171015","home",0,1,0.0833333333333333,0.333333333333333,0,298,3,Inf
"X374","EVE",1,0,13,6,2,1,1,20,1,370,1,10,1,0,0.51,"20171015","BHA",1,"BHAvEVE20171015","away",0,1,0.0769230769230769,0.166666666666667,1,370,10,Inf
"X175","SOU",2,1,12,2,2,1,1,24,3,509,1,11,1,0,0.6,"20171015","NEW",2,"SOUvNEW20171015","home",0,1,0.166666666666667,1,1,254.5,11,Inf
"X375","NEW",2,0,19,5,0,0,0,29,8,264,0,12,2,0,0.4,"20171015","SOU",2,"SOUvNEW20171015","away",0,1,0.105263157894737,0.4,2,132,6,Inf
"X176","LEI",1,1,11,3,0,0,0,35,4,386,1,13,2,0,0.55,"20171016","WBA",1,"LEIvWBA20171016","home",0,1,0.0909090909090909,0.333333333333333,0,386,6.5,Inf
"X376","WBA",1,0,5,1,2,0,0,14,1,276,1,6,2,0,0.45,"20171016","LEI",1,"LEIvWBA20171016","away",0,1,0.2,1,1,276,3,Inf
"X177","WHU",0,0,16,2,2,0,0,46,10,547,3,5,1,0,0.65,"20171020","BHA",3,"WHUvBHA20171020","home",0,0,0,0,0,Inf,5,Inf
"X377","BHA",3,2,7,5,2,1,1,10,3,254,1,13,0,0,0.35,"20171020","WHU",0,"WHUvBHA20171020","away",1,3,0.428571428571429,0.6,1,84.6666666666667,Inf,Inf
"X178","CHE",4,3,14,8,3,0,0,19,6,387,6,13,2,0,0.54,"20171021","WAT",2,"CHEvWAT20171021","home",1,3,0.285714285714286,0.5,1,96.75,6.5,Inf
"X378","WAT",2,1,16,5,4,0,0,30,6,332,3,16,3,0,0.46,"20171021","CHE",4,"CHEvWAT20171021","away",0,0,0.125,0.4,1,166,5.33333333333333,Inf
"X179","HUD",2,1,5,3,2,0,0,13,4,135,2,10,4,0,0.28,"20171021","MUN",1,"HUDvMUN20171021","home",1,3,0.4,0.666666666666667,1,67.5,2.5,Inf
"X379","MUN",1,1,9,3,1,0,0,35,7,674,3,12,2,0,0.72,"20171021","HUD",2,"HUDvMUN20171021","away",0,0,0.111111111111111,0.333333333333333,0,674,6,Inf
"X180","MCI",3,2,15,10,0,1,1,25,4,764,1,10,2,0,0.72,"20171021","BUR",0,"MCIvBUR20171021","home",1,3,0.2,0.3,1,254.666666666667,5,Inf
"X380","BUR",0,0,6,0,7,0,0,15,5,167,2,6,3,0,0.28,"20171021","MCI",3,"MCIvBUR20171021","away",0,0,0,NA,0,Inf,2,Inf
"X181","NEW",1,0,7,3,0,0,0,19,3,393,0,12,4,0,0.52,"20171021","CRY",0,"NEWvCRY20171021","home",1,3,0.142857142857143,0.333333333333333,1,393,3,Inf
"X381","CRY",0,0,10,0,2,0,0,25,5,298,1,14,2,0,0.48,"20171021","NEW",1,"NEWvCRY20171021","away",0,0,0,NA,0,Inf,7,Inf
"X182","SOU",1,0,20,6,2,0,0,35,8,508,2,10,0,0,0.65,"20171021","WBA",0,"SOUvWBA20171021","home",1,3,0.05,0.166666666666667,1,508,Inf,Inf
"X382","WBA",0,0,7,2,5,0,0,16,3,210,1,8,1,0,0.35,"20171021","SOU",1,"SOUvWBA20171021","away",0,0,0,0,0,Inf,8,Inf
"X183","STK",1,1,10,2,1,0,0,38,8,313,4,18,0,0,0.51,"20171021","BOU",2,"STKvBOU20171021","home",0,0,0.1,0.5,0,313,Inf,Inf
"X383","BOU",2,1,7,3,1,1,1,13,3,288,1,10,1,0,0.49,"20171021","STK",1,"STKvBOU20171021","away",1,3,0.285714285714286,0.666666666666667,1,144,10,Inf
"X184","SWA",1,1,19,4,5,0,0,39,7,418,0,6,0,0,0.58,"20171021","LEI",2,"SWAvLEI20171021","home",0,0,0.0526315789473684,0.25,0,418,Inf,Inf
"X384","LEI",2,1,11,6,3,0,0,25,6,279,3,9,1,0,0.42,"20171021","SWA",1,"SWAvLEI20171021","away",1,3,0.181818181818182,0.333333333333333,1,139.5,9,Inf
"X185","EVE",2,0,8,3,9,0,0,16,0,214,2,14,1,1,0.39,"20171022","ARS",5,"EVEvARS20171022","home",0,0,0.25,0.666666666666667,2,107,14,14
"X385","ARS",5,4,30,14,1,0,0,25,7,534,1,14,1,0,0.61,"20171022","EVE",2,"EVEvARS20171022","away",1,3,0.166666666666667,0.357142857142857,1,106.8,14,Inf
"X186","TOT",4,2,14,6,6,0,0,12,3,299,1,2,0,0,0.38,"20171022","LIV",1,"TOTvLIV20171022","home",1,3,0.285714285714286,0.666666666666667,2,74.75,Inf,Inf
"X386","LIV",1,1,12,7,1,0,0,33,5,563,2,8,1,0,0.62,"20171022","TOT",4,"TOTvLIV20171022","away",0,0,0.0833333333333333,0.142857142857143,0,563,8,Inf
"X187","CHE",2,2,19,6,2,0,0,35,8,472,2,16,3,2,0.6,"20170812","BUR",3,"CHEvBUR20170812","home",0,0,0.105263157894737,0.333333333333333,0,236,5.33333333333333,8
"X387","BUR",3,3,10,5,4,0,0,17,5,260,1,11,3,0,0.4,"20170812","CHE",2,"CHEvBUR20170812","away",1,3,0.3,0.6,0,86.6666666666667,3.66666666666667,Inf
"X188","SOU",3,1,14,5,6,2,2,28,7,497,1,18,1,0,0.62,"20170819","WHU",2,"SOUvWHU20170819","home",1,3,0.214285714285714,0.6,2,165.666666666667,18,Inf
"X388","WHU",2,0,16,8,2,0,0,17,2,201,0,10,1,1,0.38,"20170819","SOU",3,"SOUvWHU20170819","away",0,0,0.125,0.25,2,100.5,10,10
"X189","CHE",2,2,18,7,0,0,0,21,6,512,0,12,2,0,0.56,"20170827","EVE",0,"CHEvEVE20170827","home",1,3,0.111111111111111,0.285714285714286,0,256,6,Inf
"X389","EVE",0,0,7,0,5,0,0,15,3,368,0,7,2,0,0.44,"20170827","CHE",2,"CHEvEVE20170827","away",0,0,0,NA,0,Inf,3.5,Inf
